"portion","train_loss","train_macro_dice","val_loss","val_macro_dice","best_epoch","train_class_0_dice","train_class_1_dice","train_class_2_dice","train_class_3_dice","train_class_4_dice","train_class_5_dice","train_class_6_dice","train_class_7_dice","train_class_8_dice","train_class_9_dice","train_class_10_dice","train_class_11_dice","train_class_12_dice","train_class_13_dice","train_class_14_dice","train_class_15_dice","train_class_16_dice","train_class_17_dice","train_class_18_dice","train_class_19_dice","train_class_20_dice","train_class_21_dice","train_class_22_dice","train_class_23_dice","train_class_24_dice","train_class_25_dice","train_class_26_dice","train_class_27_dice","train_class_28_dice","train_class_29_dice","train_class_30_dice","train_class_31_dice","train_class_32_dice","train_class_33_dice","train_class_34_dice","train_class_35_dice","train_class_36_dice","train_class_37_dice","train_class_38_dice","train_class_39_dice","train_class_40_dice","train_class_41_dice","train_class_42_dice","train_class_43_dice","train_class_44_dice","train_class_45_dice","train_class_46_dice","train_class_47_dice","train_class_48_dice","train_class_49_dice","train_class_50_dice","train_class_51_dice","train_class_52_dice","train_class_53_dice","train_class_54_dice","train_class_55_dice","train_class_56_dice","train_class_57_dice","train_class_58_dice","train_class_59_dice","train_class_60_dice","train_class_61_dice","train_class_62_dice","train_class_63_dice","train_class_64_dice","train_class_65_dice","train_class_66_dice","train_class_67_dice","train_class_68_dice","train_class_69_dice","train_class_70_dice","train_class_71_dice","train_class_72_dice","train_class_73_dice","train_class_74_dice","train_class_75_dice","train_class_76_dice","train_class_77_dice","train_class_78_dice","train_class_79_dice","train_class_80_dice","train_class_81_dice","train_class_82_dice","train_class_83_dice","train_class_84_dice","train_class_85_dice","train_class_86_dice","train_class_87_dice","train_class_88_dice","train_class_89_dice","train_class_90_dice","train_class_91_dice","train_class_92_dice","train_class_93_dice","train_class_94_dice","train_class_95_dice","train_class_96_dice","train_class_97_dice","train_class_98_dice","train_class_99_dice","train_class_100_dice","train_class_101_dice","train_class_102_dice","train_class_103_dice","train_class_104_dice","train_class_105_dice","val_class_0_dice","val_class_1_dice","val_class_2_dice","val_class_3_dice","val_class_4_dice","val_class_5_dice","val_class_6_dice","val_class_7_dice","val_class_8_dice","val_class_9_dice","val_class_10_dice","val_class_11_dice","val_class_12_dice","val_class_13_dice","val_class_14_dice","val_class_15_dice","val_class_16_dice","val_class_17_dice","val_class_18_dice","val_class_19_dice","val_class_20_dice","val_class_21_dice","val_class_22_dice","val_class_23_dice","val_class_24_dice","val_class_25_dice","val_class_26_dice","val_class_27_dice","val_class_28_dice","val_class_29_dice","val_class_30_dice","val_class_31_dice","val_class_32_dice","val_class_33_dice","val_class_34_dice","val_class_35_dice","val_class_36_dice","val_class_37_dice","val_class_38_dice","val_class_39_dice","val_class_40_dice","val_class_41_dice","val_class_42_dice","val_class_43_dice","val_class_44_dice","val_class_45_dice","val_class_46_dice","val_class_47_dice","val_class_48_dice","val_class_49_dice","val_class_50_dice","val_class_51_dice","val_class_52_dice","val_class_53_dice","val_class_54_dice","val_class_55_dice","val_class_56_dice","val_class_57_dice","val_class_58_dice","val_class_59_dice","val_class_60_dice","val_class_61_dice","val_class_62_dice","val_class_63_dice","val_class_64_dice","val_class_65_dice","val_class_66_dice","val_class_67_dice","val_class_68_dice","val_class_69_dice","val_class_70_dice","val_class_71_dice","val_class_72_dice","val_class_73_dice","val_class_74_dice","val_class_75_dice","val_class_76_dice","val_class_77_dice","val_class_78_dice","val_class_79_dice","val_class_80_dice","val_class_81_dice","val_class_82_dice","val_class_83_dice","val_class_84_dice","val_class_85_dice","val_class_86_dice","val_class_87_dice","val_class_88_dice","val_class_89_dice","val_class_90_dice","val_class_91_dice","val_class_92_dice","val_class_93_dice","val_class_94_dice","val_class_95_dice","val_class_96_dice","val_class_97_dice","val_class_98_dice","val_class_99_dice","val_class_100_dice","val_class_101_dice","val_class_102_dice","val_class_103_dice","val_class_104_dice","val_class_105_dice"
"0.2","0.32374641977441615","0.5138970791727863","0.6043111515045166","0.39065001091751694","52","0.9801510052910869","0.0","0.886414009193314","0.7511113644502152","0.6930161845251274","0.0","0.0","0.6969517288510361","0.8037086408499534","0.0","0.6382442351847094","0.4041743696861966","0.5570394742871149","0.007469045158581805","0.025468898555836558","0.12506335223542744","0.7400222500324268","0.17420477923446423","0.0","0.0","0.0","0.0","0.0","0.0","0.759938006416681","0.0","0.0","0.0","0.42842961532568","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8802516443037466","0.7525860293963885","0.8171328653769564","0.0005512245058449002","0.0","0.7498567919417563","0.8505343916980793","0.0","0.7535595150855319","0.5155028460272226","0.7155536155885888","0.11872772140943572","0.5427753822975466","0.23292553702760208","0.0","0.0","0.0","0.0","0.0","0.6032465982244682","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.800303052452532","0.7414134500429446","0.7182180852065955","0.721642156716732","0.6662600577827831","0.655792089494357","0.967887672675461","0.0","0.8378725387306533","0.6388273765573754","0.6793971882132215","0.0","0.0","0.540335830231953","0.6193600807517099","0.0","0.46686095701481334","0.23000852512958153","0.3340952616090631","0.001171646162721541","0.02136752136400928","0.04451361867011461","0.574276454616855","0.0465756116688046","0.0","0.0","0.0","0.0","0.0","0.0","0.5988346472105888","0.0","0.0","0.0","0.2408824052445399","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8301276680246055","0.6204588207299175","0.7211403223866402","0.0004746084479177483","0.0","0.6092988035556778","0.6741591246700777","0.0","0.6171799027219244","0.30921447128630675","0.4021452435025369","0.050793650778991735","0.28326639890376915","0.033167495843062195","0.0","0.0","0.0","0.0","0.0","0.4416259485973983","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5861755910649543","0.5744013943962547","0.6034379266941063","0.5218131902790304","0.6120769957323192","0.47936319407414907"
"0.4","0.29661210732355275","0.573517911902256","0.5698167125384013","0.46421206976211365","42","0.9804967508729275","0.0","0.8985909722681343","0.7780737059570724","0.7185780713556156","0.0073880005219041376","0.0","0.714340382042413","0.8184900139167216","0.0","0.6515560250529018","0.5154184491142049","0.6323249199778841","0.1922983103752273","0.2141387271605333","0.32732060292833115","0.7755773395522938","0.47377055700044857","0.04781684290494619","0.0","0.0","0.0","0.0","0.0","0.7813729267960242","0.0","0.0006845336873476961","0.0","0.5231034210861664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8892038519190155","0.7764481479438768","0.8300354048782791","0.0001188825044557384","0.0","0.7655375932733386","0.8610679694722502","0.0","0.7612725944108003","0.5474708792051928","0.7443053548482436","0.38357449842569724","0.5972925532548883","0.5252187339069697","0.0","0.0","0.0","0.0","0.0","0.6298858704815699","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.799146831697575","0.7541310196488331","0.7443642929163343","0.756056835087797","0.6681025133911116","0.6896030233213293","0.9667297645367107","0.0","0.8623895539878936","0.6816162341436773","0.6857507146094608","0.003505901600618686","0.0","0.6148570164108951","0.6737960203706408","0.0","0.5337522524357181","0.3596932464451477","0.5125825450346492","0.13800928312140182","0.14506081279367236","0.22092445325286722","0.619818351175675","0.32527531558385203","0.06072351420207953","0.0","0.0","0.0","0.0","0.0","0.64820657562931","0.0","0.0","0.0","0.34472369774480904","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8512214929119412","0.6656338293027326","0.7501837715366078","0.0","0.0","0.6620809319990679","0.7143257068598183","0.0","0.5685777100981692","0.40584694751454453","0.6047279549264745","0.2970896390460792","0.4225425044944729","0.3368785554447493","0.0","0.0","0.0","0.0","0.0","0.46709733926780933","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5963198808023223","0.5847766898713388","0.5713468423319694","0.5445889155159147","0.6413412759997441","0.5247931744941986"
"0.6","0.2855354393087073","0.584568338797174","0.5753920896848043","0.48505504034148067","45","0.9808160275243428","0.0","0.902030121303275","0.7902531408534049","0.7083251427437354","0.0014325582652433486","0.0","0.7207856113431005","0.8290203544539347","0.0","0.6554646819092533","0.5198928056050303","0.6437641168657654","0.21275959098293412","0.11951853421946584","0.3283552184312257","0.7819498368888369","0.5020359771848296","0.14168109764094242","0.0","0.0","0.0","0.0","0.0","0.7956590152064156","0.0","5.605891792234397e-05","0.0","0.5203099892174183","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8950466971688532","0.7926523264391707","0.8174339123961545","0.0013801706633925635","0.0","0.774198936367931","0.8662615114528598","0.0","0.7746488442485056","0.5558767876407745","0.7539674990364086","0.4499570496546566","0.6264593389314613","0.5852039100323826","0.0","0.0","0.0","0.0026113519904756763","0.0","0.6408475401819734","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7950249443050639","0.7602505163062505","0.7563020811851945","0.7710288546754244","0.691037183795363","0.7301135657875828","0.9632789644459397","0.0","0.8739222043142022","0.7057409290140133","0.7284396309527927","0.00023449407899701089","0.0","0.6338641247277023","0.7179493502241765","0.0","0.5676642526582469","0.3794729993185204","0.46040302910663566","0.13431066075947928","0.07653701378975265","0.21964212536270425","0.6555049557870823","0.37151660387733537","0.14499772965869567","0.0","0.0","0.0","0.0","0.0","0.6778165796333586","0.0","0.0","0.0","0.4006551030744692","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8675951407987046","0.6982898835708023","0.7866258433146388","0.0014251781469298863","0.0","0.6879051567865472","0.7535369580040447","0.0","0.6667361074596773","0.4242850857523726","0.5891247455227446","0.33481943817770404","0.47167188039001806","0.3831646733249391","0.0","0.0","0.0","0.0","0.0","0.5394517047715975","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5559440997152449","0.5651617686276313","0.5692050864909582","0.5584869664178639","0.6655713894532533","0.5644186399124286"
"0.8","0.2737698961501341","0.6074936560575744","0.5468966416517893","0.5129577068592934","39","0.9813484546803243","0.0","0.9075016835873962","0.7993912906893892","0.7356903930284359","0.0020847262217386156","0.0","0.7335098268481409","0.8342344132097675","0.0","0.6679057110327211","0.5387050342144369","0.6506760902092059","0.2276912376523998","0.245090683292508","0.34219381254509806","0.7921375403805234","0.511264756301273","0.304939936257018","0.0","0.0","0.0","0.0","0.0","0.8015308582174623","0.0","0.06152527938693358","0.0","0.5477414119539561","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8998127831748466","0.8017067736606688","0.8393386704333394","0.010297252725048297","0.0","0.7818690894895561","0.8725529763834234","0.0","0.7762079860040157","0.5729202901740773","0.7694563333952299","0.5100045554848968","0.6387221721518963","0.5975582533389636","0.0","0.0","0.0","0.10655767483911793","0.0","0.6533800302955806","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.795678816053764","0.7709300849442297","0.7648493853922501","0.7743438501928933","0.7068944443636763","0.7378628226619547","0.9647481376044366","0.0","0.8813531786783869","0.7250752899271121","0.7434604475113563","0.0","0.0","0.65974991913712","0.7208051704484583","0.0","0.6030434782346503","0.4054648956048983","0.5494759931422449","0.18779434849020857","0.16510858619802837","0.20989505244515536","0.6784764935160077","0.3555740317081983","0.20782186694150415","0.0","0.0","0.0","0.0","0.0","0.6918805569793957","0.0","0.033510515364743414","0.0","0.4201912045567731","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8731986903794735","0.7102396124315076","0.7974587726196957","0.004611482590589928","0.0","0.7157192609434001","0.7922439140580085","0.0","0.6876640419579161","0.4942388267725001","0.6344990408267301","0.45429252773165885","0.44430736689775224","0.4195005944305587","0.0","0.0","0.0","0.05561072489790927","0.0","0.5534989606499555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5794096743168826","0.5864161942130754","0.5985479325440777","0.5784408555049737","0.6723900597436183","0.6014232982586252"
"1.0","0.1205141451116852","0.5778875491809746","0.19813722564164588","0.49636810176290574","38","0.9912370417624022","0.0","0.9051507940679857","0.7941265881568854","0.7245590326659646","5.886780393632661e-05","0.0","0.7345158233133866","0.834064700129128","0.0","0.6648807110913351","0.5311527304028828","0.6530760986053725","0.2708456575028267","0.2541086714174834","0.3417937325301326","0.7876592357733617","0.5109682827989741","0.31337963720985396","0.0","0.0","0.0","0.0","0.0","0.8002443230948655","0.0","0.0034586928914609348","0.0","0.5457553334648078","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8970690368951331","0.7947128920998444","0.8318491803269598","0.016888090091266218","0.0","0.7859446503599942","0.8708001813905868","0.0","0.7802056369901792","0.5688516916514204","0.7592715417365125","0.505007973585702","0.649737383900453","0.6275660602799922","0.0","0.0","0.0","0.07771854699994585","0.0","0.6569797945625547","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9863919680121949","0.0","0.8781608750536135","0.7195214098165803","0.7485456465249392","0.0","0.0","0.6444007858370334","0.7196157559763362","0.0","0.6005240174410251","0.3960944106714773","0.5526533506351109","0.21438561436419723","0.15948089399286505","0.24515960227038727","0.6839113021259371","0.35425475684763114","0.14976415092132014","0.0","0.0","0.0","0.0","0.0","0.687006247945757","0.0","0.0","0.0","0.44141239969702284","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8718545495649461","0.7079380489943001","0.8013962887902838","0.0023551577950176265","0.0","0.705779180896671","0.7661055511062134","0.0","0.7183622178795559","0.4893925656854585","0.646737200834571","0.43786008221443207","0.47229759295647283","0.4351233001993262","0.0","0.0","0.0","0.07338551855509515","0.0","0.560300780819406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
