epoch,train_loss_total,train_loss_boundary,train_loss_interior,train_loss_dice_aux,train_dice,train_dice_boundary,train_dice_interior,val_loss_total,val_loss_boundary,val_loss_interior,val_loss_dice_aux,val_dice,val_dice_boundary,val_dice_interior,lr
1,0.25961337585141847,0.9315475854786097,0.5066305171718284,0.023369304540438125,0.503255098879032,0.4773377974758534,0.6380374483102903,0.11036211245676927,0.911259204672094,0.24655221650997797,0.00988631607686872,0.8505670093653495,0.6798857816478663,0.9428692470517075,0.00011999999999999999
2,0.0904230671979675,0.7921652512506574,0.1506019467267036,0.006213148319847916,0.8640155650863414,0.6946038229600473,0.9625550841409556,0.07445652188177694,0.6566823391211137,0.08909111484689147,0.0038466293930500875,0.8896634889799252,0.7644021900599463,0.9804091108472723,0.00017999999999999998
3,0.06806745067489631,0.7328446745735685,0.10195708704945598,0.004358572728184423,0.8974613528171385,0.7218872997125962,0.9756130369546857,0.0673161049030329,0.808657046864953,0.0977250626474096,0.003989357062157963,0.901970911967127,0.6922193044110349,0.9787556330362955,0.00023999999999999998
4,0.0561084455134263,0.6738419176835364,0.07360625093875492,0.0034032853369407967,0.9192124889748828,0.755866107132568,0.9832541515741443,0.0647048040440208,0.637433416095742,0.0658929251469345,0.0028901736511391376,0.9074608809069583,0.7804531575294963,0.9861150948624862,0.0003
5,0.06604988536104138,0.720757663135959,0.10244419621681337,0.004145338735347236,0.9021881270609289,0.7427931760524007,0.976834569710671,0.05577134481516846,0.5947828588255665,0.05771783044921201,0.0027083927768552186,0.9231906167247839,0.8061040775817737,0.9883144707010504,0.0003
6,0.0475554897919491,0.6076991666384846,0.057156288284486316,0.002816282735400717,0.9320933793734848,0.7948709334593833,0.9877025578983339,0.05054549817322639,0.6223603213826815,0.042174777203942075,0.0021522466829577624,0.9339245442758527,0.7992691842087528,0.9914396520246539,0.00029963582551384367
7,0.04087722880228522,0.5585730546927214,0.03999339683407486,0.0022578811649836645,0.9454432711313039,0.8177368949639862,0.9918719058102474,0.05014053585105821,0.7160382547922302,0.05729708801791595,0.0025972679222672525,0.9422790774127894,0.7679322811595181,0.9878071839349312,0.00029854507627686476
8,0.03635411084199919,0.5228417589177407,0.03098200335200839,0.0019059317396147078,0.954807684954196,0.8344822986124122,0.9941122486286703,0.050819644802495054,0.8168006304063296,0.05977644362045746,0.0024749597007604806,0.9472028947713083,0.7566502491633097,0.987909478053712,0.0002967330663097039
9,0.03389504931827219,0.49969103547025473,0.02622310264754325,0.001717576838884782,0.9594595815356487,0.844994632086867,0.9952556095966056,0.05258970991953423,0.8329437440424635,0.06105981737767395,0.002397924727502916,0.9499329380821764,0.7625816354626104,0.9879654363582009,0.0002942086235427786
10,0.031736569526137154,0.47976602806603535,0.02226334760163632,0.0015547452356442582,0.9639579629569721,0.854012483891952,0.996161612692733,0.05441202657918135,0.8077549754004729,0.056881663634588846,0.002158177110239896,0.9485863980494047,0.7839111089706421,0.9893069539153785,0.00029098404680749326
