epoch,train_loss_total,train_loss_boundary,train_loss_interior,train_loss_dice_aux,train_dice,train_dice_boundary,train_dice_interior,val_loss_total,val_loss_boundary,val_loss_interior,val_loss_dice_aux,val_dice,val_dice_boundary,val_dice_interior,lr
1,0.26000190363212133,0.9044811073704904,0.4623616967056668,0.02134818491200306,0.6300375846471468,0.5957486693304721,0.8045693325499295,0.11330931208897055,0.8124596110561437,0.2156001145771721,0.008700937531038858,0.8365842260812458,0.7243449097139794,0.9513011836169059,0.00011999999999999999
2,0.0913107831489976,0.7981479284456876,0.15112067745070742,0.006232469286712623,0.8603457410826242,0.6853291827618118,0.9618773945160467,0.07612714576616622,0.9097605541087034,0.13445609383154333,0.005403992564727862,0.8805002162331029,0.623451702166022,0.967566168099119,0.00017999999999999998
3,0.06715727963163456,0.7306472233624155,0.10048128366783865,0.004288808778982948,0.8991550238604936,0.719759396062886,0.9759808486896155,0.06587941042686764,0.7006123554811143,0.08827566103846357,0.0036323663600916533,0.8996141071905169,0.7391762655032309,0.9811755115525764,0.00023999999999999998
4,0.05536116753129806,0.6715803319430114,0.07235333254787424,0.0033411232915093415,0.9217935333109668,0.7550124716193236,0.98367468801818,0.060314380024608816,0.8386943361215424,0.08561039884296949,0.003561954900393622,0.9154256153524968,0.687365566429339,0.980949436363421,0.0003
5,0.05090878009454111,0.643488617552631,0.06102734814556893,0.0029632443829005627,0.92857703618996,0.771651076878312,0.9866118278773395,0.057777983250848035,0.6791663876032097,0.06750869998920775,0.002742941128784431,0.9186451178893709,0.7780237579554842,0.9858836238844353,0.0003
6,0.045856170233712454,0.6103390969432941,0.04912340494945885,0.0025495107289419355,0.9386519496916995,0.7912242731340258,0.9896880717065923,0.05869018547890479,0.8553951165655203,0.09253991746523402,0.0035090006835832212,0.9307455242725841,0.7177286174213677,0.9797304785042479,0.00029963582551384367
7,0.043394355927098775,0.5918071218684328,0.04260227088934037,0.0023349512080029907,0.9435720207496007,0.8010542500356544,0.9912838197976647,0.05772646960982105,0.7352138557062861,0.08086576338922769,0.00301818425048208,0.9300045496539066,0.7699934918629495,0.9831506223009344,0.00029854507627686476
8,0.04247663758535511,0.5851428061153657,0.040688694126949615,0.0022750443860164514,0.9435216785389318,0.8046082512695732,0.9916814745795024,0.05662119506221069,0.604828211560584,0.04815489347828062,0.0021471502238949924,0.9220240210231981,0.8123856939767536,0.9898910658401355,0.0002967330663097039
9,0.04031903223314856,0.5667764303697004,0.03556439359462161,0.0020871534072915156,0.9489540112045948,0.8142237127876136,0.9930377636780334,0.05802191571708311,0.8623469542515906,0.07988497626297829,0.003073249254253154,0.9319330317932263,0.7286490201950073,0.982811308743661,0.0002942086235427786
10,0.04063065719876977,0.5699638748269275,0.03642172211112758,0.0021160724734055206,0.9467122029419062,0.8119129598277529,0.9926904817072599,0.05833176072490843,0.6657371498121504,0.057428922385728935,0.0024483453976643973,0.9083807389987143,0.78698030323313,0.9877701098458809,0.00029098404680749326
11,0.041917321461024136,0.5784792965755448,0.04005429764045224,0.002245661939936815,0.9428965625365271,0.8065349834058334,0.9918229676606368,0.05863753565701477,0.8197022542488157,0.07055512153984685,0.0028465472293502992,0.9177820557042172,0.7421250850485083,0.984733548080712,0.00028707504591756876
12,0.038190666980921724,0.5470662685688342,0.03227568639751578,0.0019581821177428404,0.9517175401087107,0.8230916490605886,0.9937733732386227,0.056010936893392024,0.789847044045465,0.06361964657665803,0.002448014960942888,0.9296582466677615,0.7637372790721425,0.9872193357400727,0.0002825006651324096
13,0.03579841547181749,0.5264608175041298,0.027433961471678103,0.0017678878005015412,0.9572602740297267,0.8335026780794664,0.9949188492821662,0.05727017929025909,0.8390186206159884,0.0749743655814152,0.0026192180020938906,0.935973322182371,0.7596063362924677,0.9852636749284309,0.00027728319037538567
