epoch,train_loss,train_recon_total,train_recon_masked,train_recon_unmasked,train_ssim,train_loss_contrast,train_embed_var_mean,train_embed_var_min,val_loss,val_recon_total,val_recon_masked,val_recon_unmasked,val_ssim
1,6.07985387923726,0.05880924970474547,0.07103348622458219,0.052406078149116,0.5326684343385584,0.0,0.0,0.0,5.783206575321701,0.032943900813043644,0.0407611740150155,0.02884913857255462,0.7121271282522376
2,5.658380705462999,0.025627459879907413,0.029256467266733765,0.023726551300653514,0.7815716621304346,0.0,0.0,0.0,5.597800176098661,0.02175964221665993,0.02416115709909903,0.020501706010422224,0.8187826412617281
3,5.588118043109124,0.020286761142902843,0.022610475109973868,0.019069577632990803,0.8375700478570661,0.0,0.0,0.0,5.561499384214294,0.018550432475618907,0.020441167755464538,0.01756004722521268,0.8561033153252615
4,5.564487987594875,0.01796936110616469,0.019876352333518407,0.016970460904269864,0.8632926772026414,0.0,0.0,0.0,5.542364028264892,0.017049792026523996,0.01865801549718667,0.0162073889514137,0.8714742123201533
5,5.780979830371447,0.03454412694650987,0.043220914357322934,0.02999914316434834,0.7310873016257635,0.0,0.0,0.0,5.9602087623668165,0.03832879486688822,0.06005213277913444,0.026949903700086805,0.6521303672002832
6,5.7975540476397045,0.03005967055444101,0.04368307741271512,0.02292360023837766,0.7340316289712575,0.0,0.0,0.0,5.674698296582924,0.02287895973101478,0.031700133817002166,0.01825834471349854,0.8118861980494496
7,5.643229155219572,0.02125678311510027,0.027903741652827104,0.01777504286919127,0.8318044509487985,0.0,0.0,0.0,5.565578766588895,0.017890739168389357,0.020189457868052794,0.016686648347267595,0.8629396458291023
8,5.565955614114737,0.01806469252410014,0.02019040151715624,0.016951225809834623,0.8612445934885649,0.0,0.0,0.0,5.544086971372928,0.016416260375913264,0.01802449789019109,0.015573850229292509,0.8795937827906426
9,5.5442267404396395,0.015906481403272506,0.017434898605159364,0.015105882007047487,0.8862558945995858,0.0,0.0,0.0,5.538662894716802,0.01566308332843415,0.017380536731045827,0.01476346475553238,0.8912759046638962
10,5.542028867930983,0.015251594654987034,0.016764930433132777,0.014458894989318535,0.8938704404667671,0.0,0.0,0.0,5.52655884229912,0.014737283264817038,0.016098515608253795,0.014024256735575434,0.8981442502114625
11,5.534212522833237,0.014637272931424266,0.01604396816844066,0.013900432502157124,0.9001787207061875,0.0,0.0,0.0,5.52556363591608,0.01454635524468436,0.015845930592308547,0.01386562531743597,0.8997862019721737
