epoch,split,loss_recon_orig,loss_recon_flip,loss_recon_total,loss_contrastive,loss_total
1,train,3.417766809463501,3.4178473949432373,6.835614204406738,0.0,6.835614204406738
1,val,3.2263870239257812,3.226682424545288,6.45306921005249,0.0,6.45306921005249
2,train,3.217108726501465,3.217090129852295,6.4341959953308105,0.0,6.4341959953308105
2,val,3.2086191177368164,3.208057165145874,6.416676044464111,0.0,6.416676044464111
3,train,3.211047649383545,3.2109503746032715,6.421996593475342,0.0,6.421996593475342
3,val,3.207664728164673,3.2080111503601074,6.415676593780518,0.0,6.415676593780518
4,train,3.2051525115966797,3.2040627002716064,6.409212112426758,0.0,6.409212112426758
4,val,3.2023744583129883,3.203145980834961,6.405520439147949,0.0,6.405520439147949
5,train,3.201744556427002,3.201521873474121,6.403263092041016,0.0,6.403263092041016
5,val,3.199927568435669,3.2008917331695557,6.400818824768066,0.0,6.400818824768066
6,train,3.1996891498565674,3.1991405487060547,6.398830890655518,0.0,6.398830890655518
6,val,3.2032535076141357,3.205000400543213,6.4082536697387695,0.0,6.4082536697387695
7,train,3.198915719985962,3.199225902557373,6.3981404304504395,0.0,6.3981404304504395
7,val,3.1948022842407227,3.197317600250244,6.392120361328125,0.0,6.392120361328125
8,train,3.1971216201782227,3.1972880363464355,6.394413948059082,0.0,6.394413948059082
8,val,3.1950244903564453,3.194417953491211,6.389444828033447,0.0,6.389444828033447
9,train,3.197500467300415,3.196399688720703,6.393898963928223,0.0,6.393898963928223
9,val,3.194493532180786,3.1930880546569824,6.387580871582031,0.0,6.387580871582031
10,train,3.1939749717712402,3.193443536758423,6.387420177459717,0.0,6.387420177459717
10,val,3.193629026412964,3.1928536891937256,6.386482238769531,0.0,6.386482238769531
11,train,3.1969051361083984,3.1966865062713623,6.393589973449707,0.0,6.393589973449707
11,val,3.197375535964966,3.1987931728363037,6.3961687088012695,0.0,6.3961687088012695
12,train,3.1970672607421875,3.196706771850586,6.393777370452881,0.0,6.393777370452881
12,val,3.193450689315796,3.193830966949463,6.387279987335205,0.0,6.387279987335205
13,train,3.193730354309082,3.193567991256714,6.387301921844482,0.0,6.387301921844482
13,val,3.193824291229248,3.1936089992523193,6.387434959411621,0.0,6.387434959411621
14,train,3.191809892654419,3.1920323371887207,6.383843898773193,0.0,6.383843898773193
14,val,3.1943390369415283,3.1927289962768555,6.3870673179626465,0.0,6.3870673179626465
15,train,3.1939237117767334,3.193189859390259,6.38711404800415,0.0,6.38711404800415
15,val,3.186129331588745,3.186427593231201,6.372556209564209,0.0,6.372556209564209
16,train,3.1923208236694336,3.1922852993011475,6.384607791900635,0.0,6.384607791900635
16,val,3.188880443572998,3.191016435623169,6.379897117614746,0.0,6.379897117614746
