epoch,split,wt_dice,tc_dice,et_dice,wt_iou,tc_iou,et_iou,wt_hd95,tc_hd95,et_hd95
1,train,0.12248062254691557,0.08088185773121213,0.1833970868635914,0.06523534404905289,0.042145324954092366,0.10095606779962273,82.891896456953,66.90528660850838,50.755709304192216
1,eval,0.6915082317873537,0.6479770847162717,0.5889568267708326,0.528477326786648,0.4792648685102285,0.41739107487619037,23.93577819420588,15.21406495333467,14.39402091605423
2,train,0.7512581466870807,0.788186439563109,0.7440131090705996,0.6016120503160749,0.6504188971766801,0.5923733077500892,19.158862559130096,10.358455091848775,6.63354520469132
2,eval,0.7325069917108861,0.8123739952675293,0.7661338644502749,0.5779179742376945,0.6840318349635061,0.6209213806722548,19.054065545218254,5.645941138235851,5.047520291588971
3,train,0.7926397939113908,0.856025858339124,0.8013506667517251,0.6565064757925427,0.7482912656542261,0.6685447065490856,12.993847609570546,5.3076200558671776,4.854645997823043
3,eval,0.7893073169632292,0.8256817403200237,0.7819733134143273,0.6519468796849552,0.7031158150815414,0.6420001482942265,18.642331121077383,8.226634188412483,7.071725711670034
4,train,0.8087638737478939,0.8729501034216279,0.8188660112603321,0.6789282627722558,0.7745443268056103,0.6932879919357035,12.035218351043026,4.731888318113074,4.267961809873977
4,eval,0.8066738053585891,0.8480911871358081,0.8343419161455371,0.6759876796310424,0.7362485447325047,0.7157689958161932,10.931262072721726,3.5206602148706905,2.8832138702297967
5,train,0.8169996834787656,0.8852021467779512,0.8321199008866651,0.6906166228942854,0.7940472294770681,0.7125045640544934,11.136318835644673,4.263016759651209,3.8640674873070893
5,eval,0.8047357100555252,0.8487002916161235,0.8217901500175684,0.6732701017052125,0.7371671211551654,0.6974904767854572,12.6415514224041,5.801093053891402,4.878427830275859
6,train,0.8309399295297561,0.8991086999055371,0.8458823313530179,0.7107760760279136,0.8167097876315202,0.7329255537216404,10.399263596575974,3.7966295246734973,3.4451736485675646
6,eval,0.7999234392195717,0.8505953360359207,0.8255287964944834,0.6665603390331772,0.7400312202513417,0.7028940292707703,11.840013648545018,4.575635302732541,3.885685554144811
7,train,0.8398878066615127,0.9069941946629689,0.8542302052886407,0.7239711913074063,0.8298164476658885,0.745551339572394,9.709640959953052,3.4786160613424912,3.220099675730306
7,eval,0.8298238660988634,0.873457355747761,0.8506801110849926,0.7091444117326117,0.7753433571327719,0.740159566792201,10.8224054119784,3.422887126348149,2.9951037347572385
8,train,0.8492183992556003,0.916146648219168,0.8629634594925765,0.7379492326834831,0.8452680860504674,0.7589584228379002,9.02903643835374,3.067960190038642,2.856199226998614
8,eval,0.8270251234781024,0.8642428255277863,0.8357394516059267,0.705066357371946,0.7609397897304941,0.7178285416943024,10.638808869129674,3.8565239967892517,3.4183103048914245
9,train,0.8555694392966581,0.9196711048773666,0.8676559406142383,0.7475940163384346,0.8512880744275289,0.766247620078386,8.595519172492613,2.970152398429763,2.7482041652497675
9,eval,0.8325338685611339,0.867444097521287,0.8570302694068923,0.7131117949734965,0.7659172457825686,0.7498276170114879,10.495517559088483,3.518446411259469,2.964759179808223
10,train,0.8634476375391867,0.9245699421987066,0.8731839213884858,0.7597077495573437,0.8597211278332512,0.774912550470917,8.090169359787788,2.7659076606992996,2.5755088402302784
10,eval,0.801489648527158,0.8724186347636568,0.8536778295619941,0.6687381944947011,0.7737079218055332,0.7447102146125347,12.899467403320854,3.4600357726765325,2.9092737264797206
11,train,0.8691450577053748,0.9282294995528231,0.8765386356293287,0.7685734263510284,0.8660711403845655,0.7802125319372587,7.67795122288131,2.6209966648040837,2.4679978626230716
11,eval,0.8395814133883548,0.8596701831078316,0.858728534265954,0.7235159993773314,0.753878544937779,0.7524314416409549,9.385671759952013,3.2272952134688704,2.637588090636037
12,train,0.873714621332518,0.9308963183090242,0.8800161782684319,0.7757488802404745,0.8707259494576312,0.7857400805199753,7.327584906108365,2.5134413542459453,2.3681388565474855
