epoch,split,wt_dice,tc_dice,et_dice,wt_iou,tc_iou,et_iou,wt_hd95,tc_hd95,et_hd95
1,train,0.30063852844486744,0.5869625056736022,0.6093821577564976,0.17691264247020078,0.4153906092586809,0.43820964987287464,61.939344594589485,30.73212055761786,22.016966098311933
1,eval,0.7415706170963812,0.6866879369063962,0.6891222807489633,0.5892826623177925,0.5228673033649383,0.5256953189674242,15.497238510955645,8.85556352560658,7.845918715023641
2,train,0.7674008478748137,0.8036693873173533,0.7587240197996764,0.6225875188634514,0.6717786695395249,0.6112452282184898,14.43551625927992,6.9917115751960965,6.327303109208964
2,eval,0.7320390067774538,0.8076613244784574,0.775905160535571,0.5773355889418674,0.6773757666840565,0.6338603313408692,24.831300997534917,6.28546541765277,5.375644374993855
3,train,0.7928046038055951,0.8496540549951963,0.7965748367252545,0.6567326269673108,0.7386074238664335,0.6619230352119488,12.5901324607464,5.468969800074683,4.9608719526760785
3,eval,0.7768923111840441,0.7939205633013501,0.7648806797397399,0.6351789938759391,0.6582655662171932,0.6192767509932293,18.376426211505585,11.447554773607164,9.059459753340889
4,train,0.808272310221808,0.8686026904169266,0.8142229456740502,0.6782357388811249,0.7677256106760689,0.6866577007065564,11.66347920205053,4.929408198581725,4.449028102582251
4,eval,0.7965217431724462,0.8344729216136969,0.8224821327371913,0.6618497165641604,0.7159618485818815,0.6984880277435505,10.104839091693158,3.3705968481997965,2.8590632531042615
5,train,0.8179432503784192,0.8806292959453751,0.8266231358076656,0.691966143453157,0.7867181915298728,0.7044822179757666,10.894463191401556,4.404277777538748,3.979474618911717
5,eval,0.8017383091126086,0.8400787190093459,0.818546233164171,0.6690844873116729,0.7242549410696733,0.6928296782669731,12.825729576553032,5.346109746648656,4.429697926517367
6,train,0.8314850485925384,0.8962274946783555,0.8389587334870685,0.711574163078551,0.8119675842235176,0.7225916577511453,10.14074575962461,3.875146507242144,3.512226963191211
6,eval,0.8128184801491829,0.8251892938327009,0.7928947193745036,0.6846623423276692,0.7024019184544185,0.6568563091395327,10.319927390125791,4.957041490226835,4.176872749764429
7,train,0.8398790106933441,0.9031330950256087,0.8452033699772937,0.7239581202606258,0.823375280017856,0.7319066820975004,9.487479755113736,3.533007755533518,3.2636886154422364
7,eval,0.8211791077435335,0.8627473483251863,0.8295272045849116,0.6966105819278916,0.7586241694443467,0.7087112215117599,10.666282189991376,3.952755591736984,3.3589750423697056
8,train,0.8497831069795881,0.9115113602098901,0.8529662713150689,0.7388024920657358,0.8374100811797669,0.7436278899078153,9.032723306850427,3.3005507982615816,3.076581585275903
8,eval,0.8180030076741667,0.8478801702643495,0.8288673996085364,0.6920516828596743,0.7359305415816795,0.7077485498495034,11.85603229373432,4.233780631937547,3.511729228839033
9,train,0.856659345100491,0.9160373777084693,0.8576202590223431,0.7492599352865529,0.8450820709776299,0.750731327122788,8.4474856884171,3.1292049198104595,2.9024974428089494
9,eval,0.8246717434502455,0.8563961304937696,0.8422529909612267,0.7016522736134313,0.7488573214285579,0.7274931262059684,10.21973901381512,3.7535091786727426,3.1846326195127896
10,train,0.8645515891629222,0.9202284205736165,0.8627185683193022,0.7614186438691262,0.8522436023575258,0.7585796657599156,7.923105423468222,2.9165500500980905,2.7083786336705598
10,eval,0.8179371320893768,0.8469465353196297,0.8095547959995564,0.6919573859342495,0.7345249472490035,0.6800437292527869,11.32439165303051,4.947359361329408,4.226814771275415
11,train,0.8701614740828659,0.9238705818541313,0.8666880814554665,0.7701644563558513,0.85851252300669,0.764739227809868,7.58493141141554,2.6814370838613013,2.5385144746186428
11,eval,0.8369226478722803,0.8336373495888924,0.8437648390472654,0.719576085237344,0.714732548487437,0.7297519289691945,10.04985401829289,3.6757211023363396,2.9063829757816038
12,train,0.8748117692607902,0.9266490043904511,0.8697689244384688,0.7774803764931572,0.8633233752806212,0.7695496463024984,7.230006640202538,2.533873304981307,2.3909720220913435
12,eval,0.8406831903396966,0.8522116172145667,0.8418396423241311,0.7251539728696152,0.742481480032438,0.7268765821112091,9.567317370206517,3.357761780422384,2.710678214107886
13,train,0.8801476088972029,0.9299719379682051,0.8738427799060677,0.7859496625537048,0.8691098588595442,0.775950963430471,6.882386260919839,2.356063370610763,2.254505222764988
13,eval,0.8321748001758599,0.8595743844065659,0.8518883366783582,0.7125850686397032,0.7537312146038356,0.7419908393001864,10.262885428542353,3.6183803713191405,2.9507442080536928
14,train,0.8851411630820873,0.9330850061594962,0.8773604232086094,0.7939490936171864,0.8745635889891576,0.7815156719453878,6.478431895560177,2.2040894522020142,2.122176764834907
14,eval,0.8363847575732931,0.858233415245984,0.8458341409757957,0.7187811976654944,0.7516715121163606,0.732853198145118,9.538047718538984,3.353828936897628,2.715636682638109
15,train,0.8888673264245064,0.9350061363208904,0.8799858945977606,0.7999650694855696,0.8779450926513641,0.7856917965169057,6.276595352994801,2.16157953691287,2.082618751297133
15,eval,0.8328440571036737,0.854473162132498,0.8494908887325939,0.7135670791659172,0.7459215566901727,0.7383608529590788,10.126382876190503,3.4272575226021775,2.742805873298424
16,train,0.8925474671727581,0.9367109873956028,0.8824969535447691,0.8059464769060146,0.8809561429598928,0.7897042932850057,6.030916961582736,2.0553986262359007,1.9905309977319128
16,eval,0.8255210681043896,0.8571595091153225,0.8500253492506646,0.7028828237659381,0.7500254987043659,0.7391687709783683,12.254018945653273,3.7529885007113557,3.0487993245306524
17,train,0.8961181150402446,0.9397502418408051,0.8862500287863682,0.8117880429507318,0.8863479898098717,0.7957351754816555,5.824006033709946,1.9266722440637989,1.8843007802195053
17,eval,0.8358757175352759,0.8587212163807013,0.8504355090687638,0.7180296211720033,0.7524202050418112,0.739789299145666,9.610143388392027,3.3979074727471934,2.6496185684082625
18,train,0.8997187568941033,0.9417863083153352,0.8891035349654594,0.8177170723681143,0.8899774362359849,0.8003477938313674,5.619297902220463,1.8728922470678706,1.825323830923389
18,eval,0.8393340553054773,0.8562772534618673,0.8367724650521322,0.7231486881665877,0.7486755475080678,0.7193540729670173,10.436352596252464,3.9966715430236,3.2667506639027764
19,train,0.9027205962026575,0.9436180323744041,0.8917450760217862,0.8226898209140011,0.8932545814799843,0.8046389478882354,5.392219901769041,1.7150032064598033,1.681583202039902
19,eval,0.8418310263839589,0.8573471444336609,0.8497476366955335,0.7268637353974262,0.7503128708401376,0.7387488726859578,9.690450888155182,3.452171798694178,2.8765427214087276
20,train,0.9057197479047031,0.9453495854681335,0.8940465948477094,0.8276853632060494,0.8963629771934911,0.8083944501482849,5.2387791240401596,1.674059815184124,1.6683215173986155
20,eval,0.8409038488700946,0.858303586782909,0.849209502787309,0.7254823925093428,0.7517791742590897,0.7379357970405248,9.852033615241732,3.4485298598029486,2.81024178851402
