portion,train_loss,train_ssim,val_loss,val_ssim
0.2,6.3016,0.9092,6.4297,0.9056
0.4,6.2966,0.9280,6.4128,0.9215
0.6,6.6762,0.9292,6.2458,0.9284
0.8,6.3559,0.9357,6.3604,0.9333
1.0,6.3059,0.9916,6.3050,0.9917
