epoch,split,wt_dice,tc_dice,et_dice,wt_iou,tc_iou,et_iou,wt_hd95,tc_hd95,et_hd95
1,train,0.3115409315211206,0.16155053918872347,0.2796170811172294,0.18451198334454483,0.08787325549728953,0.162531886388883,65.83193379921399,45.042184711151755,26.007585609786883
1,eval,0.8120689306198691,0.4951920632001296,0.32326142129101726,0.6835993699900544,0.3290732664882182,0.19279178364221497,12.11033807492409,13.006198080837004,13.570232735979724
2,train,0.8354967440377442,0.619314438953623,0.45706789837936634,0.717470509214982,0.44855574391917635,0.29623331959927507,12.082232368635303,9.001799163293457,8.582441972180826
2,eval,0.8619292548888567,0.6672389206013803,0.47945866308543805,0.7573599959330132,0.500644062101857,0.31532103169147746,9.040425826589706,7.211894292942813,7.339091121447141
3,train,0.8603139078402369,0.6929752271720976,0.5147090193287145,0.754869181749773,0.5301928789557399,0.3465374973839058,10.48174149408807,7.27491453574655,7.127083898250292
3,eval,0.8746640127127032,0.7108304625130002,0.5187870310470338,0.7772469934256201,0.5513863319316669,0.35024472639727955,8.394718226382741,6.314243458178315,6.498019686355822
4,train,0.873913519284019,0.7384248723228702,0.5578986169436403,0.7760625265018481,0.5853197769382883,0.38686504534184796,9.537090713435845,6.278535188774958,6.260737718889763
4,eval,0.8798068708616525,0.7140114489136985,0.5220508867649232,0.7854064160689862,0.5552237990848038,0.35322656381734824,7.477839608008128,6.415389987481745,6.317562600673525
5,train,0.8810319772028957,0.7652648479621283,0.5859377716823113,0.7873611749874357,0.6197805632236961,0.4143649126243914,9.000355834952591,5.605222126207494,5.703819978009803
5,eval,0.8709924761755644,0.7291051153336888,0.5182777697447324,0.7714673797966705,0.5736942717533435,0.34978065332491143,10.074649805690166,6.659565232871905,6.5203116452660135
6,train,0.8896363013959154,0.798357061950125,0.6265867245480452,0.8012116232855406,0.6643879281192834,0.4562259122927523,8.176725730733349,4.90706878363954,5.108561650775438
6,eval,0.8851353415703503,0.7329006355401662,0.5063379458881319,0.7939397261162748,0.5784081786297816,0.3389909682007692,7.523496524303259,6.12850478754323,6.179664254047232
7,train,0.8958584351657075,0.8217608437003866,0.6594039224783866,0.8113619337391363,0.697448255141354,0.49187367734018717,7.590451561099554,4.439758747048905,4.698517158509053
7,eval,0.8922427310620759,0.760676123515378,0.5268871163483498,0.8054496739322005,0.6137831586631397,0.3576692066138658,7.595208191472473,5.415253389654588,4.934651683853234
8,train,0.9008408611578615,0.8373418678065891,0.6829401877955478,0.8195727345785555,0.7201961132176515,0.5185339203786534,7.121613204038342,4.071727704400924,4.374174097209015
8,eval,0.8881668940598414,0.7550308587863587,0.5603751041055836,0.7988311279045908,0.6064655209448221,0.3892507733810975,8.229365501914753,6.249432928256214,5.999873150666647
9,train,0.9054473821827461,0.8520502344524641,0.7057494077224866,0.8272305665746617,0.7422365159385375,0.5452957966050207,6.644783798671756,3.641487321076085,3.9932383023241527
9,eval,0.8859858311336252,0.7466050007248319,0.5610145636798572,0.7953093020667842,0.5956661716031977,0.3898681317543535,8.5988363633696,6.070179830117726,5.838816007736533
10,train,0.9089255416347976,0.8615256811559212,0.7217661303658854,0.8330554662572476,0.7567370356062572,0.5646588996835813,6.340004481847886,3.3937000150109764,3.739094404296534
10,eval,0.8948990713823024,0.7779532429821552,0.5820606108224154,0.8097894483734406,0.6365985904504923,0.41049752568056863,7.363050026414686,5.205295303346004,4.980533889741881
11,train,0.9114944057260923,0.8710323844521116,0.736481697326709,0.8373814618142671,0.7715300000251993,0.5828817008574364,6.057313264785723,3.182906077375636,3.548471926271486
11,eval,0.8997263787981937,0.7547815566931669,0.5922641415805769,0.8177296642042923,0.6061438944710379,0.4207210735155662,6.920912593678531,4.735610872317192,4.612347242702638
12,train,0.9148461206373978,0.8778846952575704,0.7476627090724172,0.8430565821455296,0.7823480274686031,0.5970138512114713,5.777302191433841,2.9598656319071233,3.3484231715760355
12,eval,0.8971970882301257,0.7690537023722421,0.583676573953529,0.8135606812918417,0.6247662500422148,0.4121068417139758,8.189775871033097,4.99864900348355,4.868595594059068
13,train,0.9178409927291644,0.8860790670972519,0.760559105098961,0.8481572361938982,0.7954595707149816,0.6136307977474686,5.4992215917579585,2.771588987375632,3.1694639644564493
13,eval,0.8884042749654975,0.7600727981465493,0.5856181161653443,0.7992152677070816,0.6129979219831518,0.41404526094298044,8.606984740775232,5.175407582421046,4.854096509812487
14,train,0.9198565115791736,0.8907213311465189,0.7686250211584924,0.8516058481489409,0.8029734602822057,0.6242006166810569,5.291969294985629,2.6344015602662703,3.04563317308273
14,eval,0.9009665072922274,0.7705017384228369,0.5885208096280096,0.8197807557915705,0.6266798111893714,0.4169532315052459,6.971456653718726,5.168141000796589,4.998518748187207
15,train,0.922101228978922,0.8955942607002424,0.7766194932003834,0.8554618056623525,0.8109286549598057,0.6348143434392564,5.075226161462836,2.509865582846777,2.9311337966627065
15,eval,0.9009901481648521,0.7626101205976389,0.5934875184667959,0.819819901214135,0.61630544526998,0.42195680895760695,6.886136518929064,4.707541065714439,4.51525158466579
16,train,0.9246862837679765,0.9013400865025835,0.786139008574053,0.8599223369047533,0.8203995389558761,0.6476351197764085,4.834061302448965,2.377876074989978,2.7943275112322645
16,eval,0.8991463342018065,0.7708710422860208,0.591799672343711,0.8167718945186638,0.6271685631097175,0.42025247453866255,7.010957927619926,4.7381760564264095,4.523890737836472
17,train,0.9263703759019359,0.9051468964753544,0.7925689622326506,0.8628398053753054,0.8267290776830493,0.6564092999449337,4.676209409273838,2.2890598798366217,2.73798323717385
17,eval,0.8997943540987922,0.7720589297302957,0.587176823143536,0.817841971135993,0.6287426558350403,0.4156053161939247,6.920494654056809,4.984761565209209,4.789911637615089
18,train,0.9284598237321543,0.9097442140706299,0.8007123537037562,0.8664722464872594,0.8344319065412101,0.6676566344834732,4.4205184709220555,2.1859921232907515,2.6187423220474466
18,eval,0.9004152604932986,0.7711204808401632,0.588733144174076,0.8188684583757003,0.6274988465650112,0.4171664216046001,6.894439571569547,4.952113429033661,4.61669132045789
19,train,0.9301001963511614,0.9135503473427152,0.8073178615166151,0.8693339256434128,0.8408584282836437,0.6768927239433642,4.3111192609903535,2.091160130331445,2.5516429933914297
19,eval,0.9014769703994564,0.7723049516813403,0.5951913715995538,0.8206263738751666,0.6290690450686589,0.42368146063941464,6.7529414011159945,4.936444209479374,4.788032549433835
