epoch,train_loss,train_recon_total,train_recon_masked,train_recon_unmasked,train_ssim,train_loss_contrast,train_embed_var_mean,train_embed_var_min,val_loss,val_recon_total,val_recon_masked,val_recon_unmasked,val_ssim
1,7.004080944201526,0.0988193079829216,0.10849428176879883,0.0937514454126358,0.32192716002464294,0.0,0.0,0.0,6.837423143595674,0.06558816134929657,0.07872933894395828,0.05870470777153969,0.42988109588623047
2,6.74757604914553,0.04899405315518379,0.0617990605533123,0.042286694049835205,0.566551685333252,0.0,0.0,0.0,6.685016287504322,0.0401814728975296,0.049974486231803894,0.035051800310611725,0.6481336951255798
3,6.652040134457981,0.0371614545583725,0.04625412076711655,0.03239865601062775,0.6728224754333496,0.0,0.0,0.0,6.619618603782932,0.034401826560497284,0.04429498687386513,0.029219694435596466,0.6897826790809631
4,6.57457319427939,0.02986334264278412,0.038640450686216354,0.025265799835324287,0.7336245179176331,0.0,0.0,0.0,6.547573430694803,0.02793405018746853,0.03664537891745567,0.023370997980237007,0.7506997585296631
5,6.532001542694428,0.026188069954514503,0.034555453807115555,0.021805139258503914,0.7697687149047852,0.0,0.0,0.0,6.515261587435312,0.024372464045882225,0.03245436027646065,0.020139098167419434,0.7867045998573303
6,6.494498883100117,0.02349940873682499,0.030961664393544197,0.019590619951486588,0.7956061959266663,0.0,0.0,0.0,6.490988184935855,0.02253352291882038,0.02940213680267334,0.01893567480146885,0.804928183555603
7,6.462616519892917,0.02139655500650406,0.027532869949936867,0.018182292580604553,0.8161398768424988,0.0,0.0,0.0,6.4469769331660585,0.020100276917219162,0.025581175461411476,0.017229335382580757,0.8298223614692688
8,6.437375955721912,0.019744832068681717,0.0250870268791914,0.016946522518992424,0.8327905535697937,0.0,0.0,0.0,6.425385652667415,0.01898365095257759,0.024115053936839104,0.016295773908495903,0.8392695784568787
9,6.418664642116603,0.01840732991695404,0.023109817877411842,0.015944112092256546,0.8465460538864136,0.0,0.0,0.0,6.408326034128231,0.0176438819617033,0.022147085517644882,0.015285058878362179,0.8530099391937256
10,6.40460385732791,0.01707734353840351,0.021439623087644577,0.014792324975132942,0.8612914085388184,0.0,0.0,0.0,6.3949929780333585,0.016381077468395233,0.020442461594939232,0.014253679662942886,0.8678369522094727
11,6.393826281323152,0.015965968370437622,0.019901294261217117,0.013904610648751259,0.8732798099517822,0.0,0.0,0.0,6.386601747387517,0.015426472760736942,0.018983902409672737,0.013563054613769054,0.8792333006858826
12,6.383849861867287,0.015121161937713623,0.018757712095975876,0.013216289691627026,0.8823287487030029,0.0,0.0,0.0,6.380836754819772,0.014598115347325802,0.018070366233587265,0.012779312208294868,0.8877285718917847
13,6.374360476346577,0.014498895965516567,0.017802488058805466,0.012768452987074852,0.8891474604606628,0.0,0.0,0.0,6.375659093369532,0.01424498949199915,0.01734784245491028,0.012619676999747753,0.8938493132591248
14,6.36703210280222,0.013896572403609753,0.017012134194374084,0.012264611199498177,0.8957392573356628,0.0,0.0,0.0,6.371303920328182,0.013498608954250813,0.01658732071518898,0.011880708858370781,0.8993257880210876
15,6.366784472675884,0.013348615728318691,0.016395870596170425,0.011752445250749588,0.9016281366348267,0.0,0.0,0.0,6.357665479618268,0.01318370271474123,0.016246698796749115,0.011579273268580437,0.905323326587677
16,6.363601628471823,0.012854911386966705,0.015786467120051384,0.011319347657263279,0.9071398377418518,0.0,0.0,0.0,6.36301024290767,0.012545634992420673,0.015502526424825191,0.010996781289577484,0.9103434681892395
17,6.360512424917782,0.012434541247785091,0.015313287265598774,0.010926608927547932,0.9118026494979858,0.0,0.0,0.0,6.350192505077724,0.012064400129020214,0.014859288930892944,0.010600408539175987,0.9152913093566895
