epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,0.6477922684492204,0.20586049073511783,0.01764784034197066,0.20586049073511783,0.49403676355583914,3,0.11845481861975922,0.2857762868082917,0.13028912641213936,0.2857762868082917,0.5906861416274322,3,0.00011999999999999999,1,1,1,1,0.2857762868082917,200.2803088500001,30.654885464000017,231.08478371599995,0.20586049073511783,0.2857762868082917,3,3,pc_macro_dice,0.20586049073511783,0.2857762868082917
2,0.1060899335819597,0.3975512331067999,0.28952919097796576,0.3975512331067999,0.5490174082722187,3,0.10317661788442119,0.40640099861996826,0.32600853504960375,0.40640099861996826,0.5361748529673463,3,0.00017999999999999998,1,1,1,1,0.40640099861996826,132.33441664600014,26.56579287800014,159.06376770400016,0.3975512331067999,0.40640099861996826,3,3,pc_macro_dice,0.3975512331067999,0.40640099861996826
3,0.08800183153583314,0.5207481114768504,0.4401251011109367,0.5207481114768504,0.6561712545054,3,0.09282076255949273,0.4901390663516607,0.32909523090105547,0.4901390663516607,0.6693272713784175,3,0.00023999999999999998,1,1,1,1,0.4901390663516607,126.98175648899996,25.97092110099993,153.11348229700002,0.5207481114768504,0.4901390663516607,3,3,pc_macro_dice,0.5207481114768504,0.4901390663516607
4,0.0735929369146879,0.584161258037862,0.5223499921282734,0.584161258037862,0.7060249522073263,3,0.08502045547616353,0.4871971088311738,0.305123724993866,0.4871971088311738,0.6780585363069773,3,0.0003,1,1,1,0,0.4901390663516607,125.57534866100013,26.111293571000033,151.76537777399994,0.584161258037862,0.4871971088311738,3,3,pc_macro_dice,0.584161258037862,0.4871971088311738
5,0.06677679964207327,0.6245149878440315,0.5622386808141319,0.6245149878440315,0.7328679836582481,3,0.08146233024827507,0.5692009969749126,0.4914710340211052,0.5692009969749126,0.6916471918962035,3,0.0003,1,1,1,1,0.5692009969749126,131.86924303399996,26.58951988800004,158.59519829600004,0.6245149878440315,0.5692009969749126,3,3,pc_macro_dice,0.6245149878440315,0.5692009969749126
6,0.05998818315089511,0.6639778600664347,0.5948954048923676,0.6639778600664347,0.7574374012016856,3,0.08070585587852379,0.5686665217018954,0.49800654743220135,0.5686665217018954,0.7051245681982872,3,0.00029882114784651444,1,1,1,0,0.5692009969749126,126.62635188200011,26.02958934900016,152.726712099,0.6639778600664347,0.5686665217018954,3,3,pc_macro_dice,0.6639778600664347,0.5686665217018954
7,0.05509522241114761,0.6959818705962402,0.6277396309295208,0.6959818705962402,0.7747508177351278,3,0.08557414331222783,0.6023063044227548,0.5133478924808186,0.6023063044227548,0.7472426932650387,3,0.00029530318258873034,1,1,1,1,0.6023063044227548,127.65679410800021,25.273673962999965,153.0766046870001,0.6959818705962402,0.6023063044227548,3,3,pc_macro_dice,0.6959818705962402,0.6023063044227548
8,0.04920342163786816,0.7214433970601447,0.6606730335822111,0.7214433970601447,0.7896579179165162,3,0.07695459272670944,0.5748813902506958,0.5093805432164289,0.5748813902506958,0.7051661865340835,3,0.00028950158464029354,1,1,1,0,0.6023063044227548,125.84123506900005,26.53380858499986,152.4452861259997,0.7214433970601447,0.5748813902506958,3,3,pc_macro_dice,0.7214433970601447,0.5748813902506958
9,0.04545043510929369,0.73956109994456,0.6835804835761164,0.73956109994456,0.802940880149509,3,0.08341775438637075,0.5882694174055157,0.4781673147972146,0.5882694174055157,0.739502294277633,3,0.00028150784866655756,1,1,1,0,0.6023063044227548,125.92757694400007,25.98941022500003,151.9893508109999,0.73956109994456,0.5882694174055157,3,3,pc_macro_dice,0.73956109994456,0.5882694174055157
10,0.0422801911420287,0.7590600715094344,0.7071585517751828,0.7590600715094344,0.8140731916537237,3,0.08187385772615909,0.5827968761105238,0.4939877591931436,0.5827968761105238,0.7137344520993124,3,0.0002714480406590546,1,1,1,0,0.6023063044227548,127.68204004099971,26.851989933999903,154.61288703699984,0.7590600715094344,0.5827968761105238,3,3,pc_macro_dice,0.7590600715094344,0.5827968761105238
11,0.03930537791672749,0.772842143487612,0.7256621891148104,0.772842143487612,0.8238175388298838,3,0.09287385672707538,0.603226424658343,0.5320750918756864,0.603226424658343,0.7411047284789056,3,0.000259480809799501,1,1,1,1,0.603226424658343,128.7256054319996,26.721437855000204,155.59841137500007,0.772842143487612,0.603226424658343,3,3,pc_macro_dice,0.772842143487612,0.603226424658343
12,0.037396305548652004,0.7801764380344371,0.7333936388653173,0.7801764380344371,0.8331081606075774,3,0.08915482752564939,0.5860530605856797,0.4842949461293667,0.5860530605856797,0.7308419308851405,3,0.0002457948864674291,1,1,1,0,0.603226424658343,131.89302661700003,27.39117092000015,159.36834270500003,0.7801764380344371,0.5860530605856797,3,3,pc_macro_dice,0.7801764380344371,0.5860530605856797
