epoch,split,loss_recon_orig,loss_recon_flip,loss_recon_total,loss_contrastive,loss_total
1,train,3.001414027940284,3.0350199894190117,6.036434016514838,0.0,6.036434016514838
1,val,2.848519257779391,2.861804528056451,5.710323794832769,0.0,5.710323794832769
2,train,2.8708381064526445,2.8245521866867085,5.695390303272847,0.0,5.695390303272847
2,val,2.910097583284918,2.7978603491243326,5.707957917789243,0.0,5.707957917789243
3,train,2.8321240395835328,2.7922551116808245,5.624379146760583,0.0,5.624379146760583
3,val,2.8003907226166636,2.77826722275536,5.578657944247408,0.0,5.578657944247408
4,train,2.7991852940465933,2.7790189563453973,5.578204251236448,0.0,5.578204251236448
4,val,2.7858573344518556,2.766034779683599,5.551892127630846,0.0,5.551892127630846
5,train,2.7905400655064136,2.9309390976127796,5.721479166497025,0.0,5.721479166497025
5,val,2.7813242044088975,2.7989137768745422,5.5802379869065195,0.0,5.5802379869065195
6,train,2.7822148670412714,2.7932594025149116,5.575474272934014,0.0,5.575474272934014
6,val,2.776761288912791,2.7807797665865914,5.557541046502455,0.0,5.557541046502455
7,train,2.7780701849508453,2.7794738722241616,5.557544057456493,0.0,5.557544057456493
7,val,2.7741398586417145,2.7761979181811496,5.550337775698248,0.0,5.550337775698248
8,train,2.7740082614115025,2.8173846933889557,5.591392955644916,0.0,5.591392955644916
8,val,2.767656295929315,2.775009809799914,5.542666084361526,0.0,5.542666084361526
9,train,2.7704352296651327,2.7765455766720644,5.546980809433542,0.0,5.546980809433542
9,val,2.7666187590023257,2.7710880041122437,5.537706761989954,0.0,5.537706761989954
10,train,2.7665475898256267,2.7748797868753408,5.5414273679749035,0.0,5.5414273679749035
10,val,2.7603090011848592,2.7666223161625414,5.526931321845864,0.0,5.526931321845864
11,train,2.7630844521550673,2.7699150101775403,5.5329994603622055,0.0,5.5329994603622055
11,val,2.7590701456339852,2.764260862233504,5.5233310101167215,0.0,5.5233310101167215
12,train,2.8551394804309362,2.7728672345666987,5.628006703175226,0.0,5.628006703175226
12,val,2.783681723306764,2.761977347562898,5.545659071994278,0.0,5.545659071994278
13,train,2.7784866768748024,2.7719104168969597,5.55039709320879,0.0,5.55039709320879
13,val,2.7703072608641857,2.763054220181591,5.533361482170393,0.0,5.533361482170393
14,train,2.770603541359569,2.7653901050617167,5.5359936419175115,0.0,5.5359936419175115
14,val,2.765388458404901,2.7619160604926773,5.527304534642202,0.0,5.527304534642202
15,train,2.7667802804476254,2.7635575573728666,5.530337824027682,0.0,5.530337824027682
15,val,2.7637705510517336,2.7627429174927047,5.526513475292134,0.0,5.526513475292134
16,train,2.7645706961540575,2.762769753986435,5.527340454925754,0.0,5.527340454925754
16,val,2.7588571366274133,2.7700874670496525,5.528944575561668,0.0,5.528944575561668
17,train,2.761357602431332,2.7598858251200094,5.521243416291904,0.0,5.521243416291904
17,val,2.7576509871572816,2.7575412842462645,5.515192268029699,0.0,5.515192268029699
