epoch,train_loss,train_recon_total,train_recon_masked,train_recon_unmasked,train_ssim,train_loss_contrast,train_embed_var_mean,train_embed_var_min,val_loss,val_recon_total,val_recon_masked,val_recon_unmasked,val_ssim
1,6.036434016514838,0.05722323538561779,0.06681553782907003,0.052198695836222955,0.5439176218762307,0.0,0.0,0.0,5.710323794832769,0.03180664642370556,0.035363200587413046,0.02994368940713215,0.717037572269946
2,5.695390303272847,0.031195672886465912,0.03386377703546006,0.029798094561243833,0.7358425900322487,0.0,0.0,0.0,5.707957917789243,0.03407898197131874,0.0400168892141001,0.03096864957256186,0.6889762327031048
3,5.624379146760583,0.025022501752677746,0.026888093453396846,0.02404528695931019,0.7765260785642172,0.0,0.0,0.0,5.578657944247408,0.021375481111813435,0.02247949914402858,0.020797185942034554,0.8247598124816354
4,5.578204251236448,0.020352179298909666,0.021231448698660532,0.01989160963426977,0.8353775691817192,0.0,0.0,0.0,5.551892127630846,0.018857818270503243,0.01942295812671771,0.01856179260139235,0.8505071457156741
5,5.721479166497025,0.03472164393773186,0.03721881797702141,0.03341360018809194,0.7155878582558075,0.0,0.0,0.0,5.5802379869065195,0.022222119675273388,0.02226930933747991,0.022197401170265744,0.7969779377490018
6,5.575474272934014,0.020945231822773445,0.021212624314581874,0.02080516910823741,0.8220021586772824,0.0,0.0,0.0,5.557541046502455,0.018976446713669815,0.01896693564573796,0.018981428564323236,0.8459199286491822
7,5.557544057456493,0.018820370381440715,0.01891815074622228,0.01876915207585818,0.8512520657801712,0.0,0.0,0.0,5.550337775698248,0.01783897817838157,0.017889183818830437,0.017812680019255952,0.8639148889389713
8,5.591392955644916,0.021971713408493517,0.022681923123136334,0.021599698756687047,0.8107916290532037,0.0,0.0,0.0,5.542666084361526,0.01747715679769319,0.017385790839723365,0.01752501511979026,0.8644737494027017
9,5.546980809433542,0.017634845721406736,0.017780772728304296,0.017558407822380166,0.8638277069314734,0.0,0.0,0.0,5.537706761989954,0.017041341129657443,0.01689000150159333,0.017120614375336685,0.8690746684341656
10,5.5414273679749035,0.01657370094610147,0.016650012575647306,0.016533728282434337,0.8769418638036833,0.0,0.0,0.0,5.526931321845864,0.01565913661742984,0.0157293231981502,0.015622372264891533,0.8881833014586682
11,5.5329994603622055,0.015593929148093306,0.015728204887453495,0.015523594231135583,0.8879548777092727,0.0,0.0,0.0,5.5233310101167215,0.015212880198055312,0.015413791515066977,0.015107641087470555,0.8922788473708791
12,5.628006703175226,0.025000709029840397,0.025185098964551032,0.02490412374300653,0.8027243386193178,0.0,0.0,0.0,5.545659071994278,0.01847719955409171,0.018122191479008523,0.018663156010793457,0.8547125954191945
13,5.55039709320879,0.017822748850569253,0.01776453198998402,0.017853243377321706,0.8585643265858169,0.0,0.0,0.0,5.533361482170393,0.016221700015321243,0.016242756252795195,0.016210670373399266,0.8797927988665646
14,5.5359936419175115,0.015899833166419828,0.01591413583995524,0.015892341278077458,0.8840740938817174,0.0,0.0,0.0,5.527304534642202,0.015470789979516933,0.015426905010046413,0.015493777388015278,0.8888092184488752
15,5.530337824027682,0.015121303629591938,0.01515032673926137,0.01510610105838959,0.8928945520551878,0.0,0.0,0.0,5.526513475292134,0.014764398266080558,0.014583657196425471,0.014859072233388424,0.8980020719995189
16,5.527340454925754,0.014566852387872116,0.014653802680920617,0.014521306995437527,0.8992244072056155,0.0,0.0,0.0,5.528944575561668,0.016036961647437384,0.016364882701394003,0.015865193432779656,0.8768916318550223
17,5.521243416291904,0.013962715275919916,0.013995024367720705,0.013945791502790279,0.9055475076790261,0.0,0.0,0.0,5.515192268029699,0.013744218251873962,0.013767772086602044,0.013731880498779743,0.9056682240646498
18,5.517122265861898,0.01348476491345108,0.013485142385177862,0.013484567160844172,0.9109407144707519,0.0,0.0,0.0,5.507010932238597,0.012984678149223328,0.01292674853482685,0.013015022075549658,0.9155635594618355
19,5.528396671187076,0.014774587162613095,0.014863110052754954,0.0147282180305194,0.8931664784374035,0.0,0.0,0.0,5.514406269451357,0.014496594649852201,0.014344743168299688,0.014576135804971663,0.8939875675865331
