epoch,split,wt_dice,tc_dice,et_dice,wt_iou,tc_iou,et_iou,wt_hd95,tc_hd95,et_hd95
1,train,0.45770517129111593,0.06206283075035777,0.09321586928288185,0.2967689204237811,0.03202520274400234,0.04888643018432533,37.01174056674452,37.07925657451635,21.52532051443949
1,eval,0.8676250051612944,0.5060232460062848,0.3656284618836335,0.7661993678029584,0.33870891541891657,0.22371196105447655,9.961488260587759,8.86496094389486,8.158519312286522
2,train,0.87440924069509,0.6032630908962513,0.4233264984702983,0.7768447221751064,0.4319088920499353,0.2684934439879807,11.331018723819934,8.702781820003807,8.948330918384999
2,eval,0.9006829602460891,0.6698292134368521,0.4496673320685733,0.8193113794067202,0.5035663241165709,0.2900457052669567,7.769360925642392,7.447182758355346,7.414542886036653
3,train,0.8896106327779908,0.6925829281932901,0.48576405081727764,0.8011699850869733,0.5297337346499652,0.320798123356838,10.320931167602334,7.273939676993285,7.538409112213121
3,eval,0.890073115614177,0.703106988929117,0.49266351791121665,0.8019204941654315,0.5421472572733975,0.326843756364545,8.01709484900426,6.321989428674843,6.831196214687312
4,train,0.8984803976994744,0.7352382884680386,0.5239815761339311,0.8156735439142403,0.58132554279926,0.3549966366689988,9.432614489438944,6.3452803113865075,6.686374097253183
4,eval,0.8941816224667957,0.7194381797615542,0.5025536448139142,0.8086152668772645,0.5618144851668248,0.33560711078124894,6.411998645859095,5.841141413666903,6.6240114705993935
5,train,0.9033589646994051,0.7638559339648437,0.5527854937483647,0.8237508315123279,0.6179343936947875,0.38196514156018885,8.874336622946556,5.671876533467143,6.105204386985532
5,eval,0.8852632606963753,0.7194752055461865,0.48686236064393,0.7941455856648258,0.5618596443133043,0.321756823689297,8.653651337046622,6.16220160705413,6.555784122336199
6,train,0.9109471619839067,0.7966364951658905,0.5887136503685381,0.8364581865865771,0.6620081895168586,0.41714684657884815,8.003825642129005,4.990447876236727,5.527654040988303
6,eval,0.8889360004870653,0.6917002770822767,0.4738154568690509,0.800076324025218,0.5287016919484409,0.3104575124951956,7.397737136241542,6.816366931438111,7.4817201959632245
7,train,0.9160699290944648,0.8183195390206145,0.6161273318400416,0.8451374804365038,0.6925049250136412,0.44521966942180047,7.353944843185904,4.4128702991621855,5.0332509155774625
7,eval,0.9013824294876915,0.7426114994200995,0.526443368605688,0.820469700905437,0.5905982908843299,0.35726035728097916,8.098019084378793,5.37475684801976,5.508740648642741
8,train,0.9194390213590821,0.833710058979588,0.6404253009312859,0.8508904536933326,0.714839449142601,0.4710482633796926,7.101265311051972,4.1158898246619104,4.777692011153127
8,eval,0.902350996698362,0.7440983852441714,0.5370330604310803,0.8220760862390113,0.592481430473229,0.3670848916034449,8.293503691797834,5.438455459302051,5.8808493586827275
9,train,0.921643053154095,0.8432166396981664,0.6591740483012626,0.854673450984682,0.7289321999567405,0.4916179072057285,6.8589562503659325,3.8369579769772075,4.566186983540726
9,eval,0.9000762850971078,0.744326792103716,0.5358048951995106,0.8183079179964511,0.5927711027224496,0.3659381823111061,6.290056093395754,5.559411737570809,5.636437050839299
10,train,0.9252867042757426,0.8546383975087217,0.6838871973966343,0.8609614377685584,0.7461734317352667,0.5196265821925418,6.273742735584081,3.5846512789198672,4.322925041150237
10,eval,0.9073240924291578,0.7632368612586741,0.5575283974895353,0.8303689009179811,0.6171245223523018,0.3865090976621085,7.251149443181049,4.935644787371034,5.278522561145269
11,train,0.9265966274705193,0.8636132206977931,0.7023891258864394,0.8632324540652313,0.7599641569467137,0.5412941120474687,6.184781706942108,3.317067596624546,4.06634209143382
11,eval,0.9158067421676319,0.7571440286311362,0.5702195894440077,0.8446895749920157,0.6091969190904949,0.39881619949057,6.4002572853568305,4.894342567477418,5.1179301391569245
12,train,0.9297224362697433,0.8705377908523527,0.7169747297897389,0.8686741344267422,0.7707542437469485,0.5588157508949465,5.73798589939699,3.150494303223182,3.893825785160174
12,eval,0.9206631796876614,0.7691737068794225,0.5598465317103026,0.8529896899294512,0.6249246633570825,0.38874088354983943,5.676443907541345,5.0061943526861565,5.433793899771983
13,train,0.9315407303241868,0.8767387885211748,0.730459428841828,0.8718542267004998,0.7805297463863349,0.5753730486733851,5.575586913876885,2.9939484132904286,3.6884361716636525
13,eval,0.9169839108367874,0.7610269985591894,0.5529883838514288,0.8466946336367828,0.6142401793051067,0.38215891129007423,7.528102483993715,5.4162596836201615,5.582988614165749
14,train,0.933299716606293,0.8828009177634363,0.7426967438770048,0.8749409099592623,0.790191230730447,0.5907061325580077,5.309152160979874,2.8824457000281667,3.56648941808118
14,eval,0.922861589564597,0.7643662103785781,0.5567758586695752,0.8567715909337557,0.6186025477765281,0.38578613170669096,5.728776852130632,5.36427058487361,5.64545903082439
15,train,0.9348295919605597,0.8860832378000293,0.7491641646930468,0.8776338367127691,0.7954662932354357,0.5989308457166187,5.054488698403726,2.7906169634045863,3.4483231556977394
15,eval,0.9208076651318456,0.7566062172862139,0.570309935131629,0.8532377736396185,0.6085008850815329,0.39890459418149227,5.778813295398162,4.9138305036958165,5.0070082421665
16,train,0.9361260065806288,0.8916992045873607,0.7598392513112684,0.879921882075385,0.8045642557311039,0.6126941625226204,4.859222854327226,2.675572368547204,3.3120242967024605
16,eval,0.9108128072686602,0.7644830381309744,0.5606556067695013,0.8362316536100901,0.6187555992549908,0.38952151368801496,6.0390346749556825,5.148545147710797,5.345569027198033
17,train,0.9372676066008051,0.8948018078357642,0.7656298560790312,0.8819413169508409,0.809630176903867,0.6202595387207057,4.766865422537521,2.5400763972272298,3.208843088095217
17,eval,0.916735142220675,0.7672643341393641,0.5643483998567622,0.8462705455985776,0.6224078327479052,0.3930956506442483,5.6499180865797625,4.9903681120405885,5.130973049743706
18,train,0.9394773943350737,0.8991795335809718,0.7738797044284775,0.8858626768696178,0.8168266861044153,0.6311613201604779,4.4821442720349705,2.4600188420342564,3.1034091711266405
18,eval,0.9113164281907253,0.7662440644327623,0.5580482243865549,0.8370810874607172,0.6210661625554572,0.387008937347538,7.034597708025834,5.508186569378989,5.7767833851809005
19,train,0.9405105154529065,0.9013481613946044,0.7788958898182049,0.8877016045656672,0.8204129185627684,0.6378619835308267,4.356146912788699,2.4026747891175892,3.028116256605549
19,eval,0.913916826585973,0.7714370685057566,0.5619832986921394,0.8414795928686924,0.627918235793989,0.3908044309784591,6.519003825198483,5.3220733967639555,5.507820035354958
