epoch,split,loss_recon_orig,loss_recon_flip,loss_recon_total,loss_contrastive,loss_total
1,train,3.416682243347168,0.0,3.416682243347168,0.0,3.416682243347168
1,val,3.312690496444702,0.0,3.312690496444702,0.0,3.312690496444702
2,train,3.289257049560547,0.0,3.289257049560547,0.0,3.289257049560547
2,val,3.2743606567382812,0.0,3.2743606567382812,0.0,3.2743606567382812
3,train,3.2623767852783203,0.0,3.2623767852783203,0.0,3.2623767852783203
3,val,3.25307035446167,0.0,3.25307035446167,0.0,3.25307035446167
4,train,3.2449722290039062,0.0,3.2449722290039062,0.0,3.2449722290039062
4,val,3.23837947845459,0.0,3.23837947845459,0.0,3.23837947845459
5,train,3.2362687587738037,0.0,3.2362687587738037,0.0,3.2362687587738037
5,val,3.233551263809204,0.0,3.233551263809204,0.0,3.233551263809204
6,train,3.2288901805877686,0.0,3.2288901805877686,0.0,3.2288901805877686
6,val,3.2298316955566406,0.0,3.2298316955566406,0.0,3.2298316955566406
7,train,3.2238571643829346,0.0,3.2238571643829346,0.0,3.2238571643829346
7,val,3.221611976623535,0.0,3.221611976623535,0.0,3.221611976623535
8,train,3.21907639503479,0.0,3.21907639503479,0.0,3.21907639503479
8,val,3.2176663875579834,0.0,3.2176663875579834,0.0,3.2176663875579834
9,train,3.217081308364868,0.0,3.217081308364868,0.0,3.217081308364868
9,val,3.2142627239227295,0.0,3.2142627239227295,0.0,3.2142627239227295
10,train,3.211973190307617,0.0,3.211973190307617,0.0,3.211973190307617
10,val,3.2149765491485596,0.0,3.2149765491485596,0.0,3.2149765491485596
11,train,3.2135519981384277,0.0,3.2135519981384277,0.0,3.2135519981384277
11,val,3.2118725776672363,0.0,3.2118725776672363,0.0,3.2118725776672363
12,train,3.2127110958099365,0.0,3.2127110958099365,0.0,3.2127110958099365
12,val,3.2099437713623047,0.0,3.2099437713623047,0.0,3.2099437713623047
13,train,3.207868814468384,0.0,3.207868814468384,0.0,3.207868814468384
13,val,3.2092010974884033,0.0,3.2092010974884033,0.0,3.2092010974884033
