epoch,train_loss_total,train_loss_boundary,train_loss_interior,train_loss_dice_aux,train_dice,train_dice_boundary,train_dice_interior,val_loss_total,val_loss_boundary,val_loss_interior,val_loss_dice_aux,val_dice,val_dice_boundary,val_dice_interior,lr
1,0.2303356292451623,0.9306232890124164,0.4398563774965287,0.019805094107840135,0.5788941110091653,0.5179834849236428,0.6908037576338727,0.08916645104947843,0.9697184943054852,0.19173680507300192,0.007544680880464352,0.8698624696647912,0.596648686026272,0.953952341748957,0.00011999999999999999
2,0.07411473615532534,0.7448264323944523,0.1178496030858321,0.004943869055381334,0.8838545767150038,0.7254454982627323,0.9712508121062164,0.06053510837649044,0.7353391102923635,0.09877293377199717,0.004050348099043364,0.9103828150975076,0.7361184217427906,0.9778565910824558,0.00017999999999999998
3,0.052034629729748136,0.6371611991089177,0.06866108912649667,0.0032090778826353267,0.9233092325921267,0.7856646078911644,0.9849388838361581,0.054184859847290476,0.8192280029649275,0.05976793158537986,0.003065082288486066,0.9175467763030738,0.7082397258072569,0.9878940132626316,0.00023999999999999998
4,0.04581811424564248,0.5926752525517844,0.05278707972450528,0.0026957551896530786,0.9342313656026202,0.8052818025444515,0.9886604731741441,0.04947804164533552,0.7026177249979555,0.05936366028822305,0.002794391422005566,0.9444870154062907,0.7750056276195928,0.9869076818750616,0.0003
5,0.04015448896674683,0.5513877303388708,0.040144700668866204,0.002238246700965159,0.9453681420075958,0.8232561529093146,0.9918591771859109,0.04864225433649201,0.5654346127259103,0.042486402451207765,0.0021053074523112165,0.9448800505253306,0.8278809932240269,0.9907610500067995,0.0003
6,0.03631421378382582,0.5157238015849442,0.03153195859245848,0.0019241903929304199,0.952758815467312,0.8391029690182109,0.9939065079882388,0.04961790023534967,0.6903122178556627,0.044232323185720464,0.0022159272614915514,0.937031070391337,0.79132769714322,0.9906623499435291,0.00029963582551384367
7,0.03481952206451836,0.5031096469425662,0.02834653029611652,0.0018005821322213485,0.9550245798719504,0.8439014814879572,0.9946985301756184,0.048596144408771864,0.6677896997384858,0.060403660066393125,0.002635944968093546,0.9415834044155321,0.792032077647092,0.9871664549175062,0.00029854507627686476
8,0.035271880481258185,0.505085061275056,0.03058053299573741,0.0018596661041701654,0.9537673472172445,0.8431656452290595,0.9943607519305929,0.049364525775768255,0.7566483752769336,0.05576615213220449,0.0025077605131899184,0.94344975655539,0.7688865734819781,0.9877085968067771,0.0002967330663097039
9,0.03095711087601369,0.4632289531172553,0.023222458590172634,0.0015604758059588855,0.960599782089286,0.860360940586271,0.9958207626423037,0.052045401087717005,0.699722043777767,0.04645479623669464,0.0019445296125731577,0.9471150511189511,0.8132966056204679,0.9905184266860025,0.0002942086235427786
10,0.028468655512113104,0.4359168286713919,0.018705744958641586,0.0013738168063167377,0.9667583567182253,0.8711764386070532,0.9968381732040995,0.05518370319419263,0.7588048488424536,0.06534395186259133,0.0020309145153365343,0.9518324795522188,0.8186298023190415,0.9887072872697261,0.00029098404680749326
