epoch,train_loss,train_recon_total,train_recon_masked,train_recon_unmasked,train_ssim,train_loss_contrast,train_embed_var_mean,train_embed_var_min,val_loss,val_recon_total,val_recon_masked,val_recon_unmasked,val_ssim
1,6.13137065590202,0.0641765233212829,0.07645545545611576,0.057744701921205975,0.5050167456805846,0.0,0.0,0.0,5.8688537624647035,0.038031737994303746,0.047171382566468904,0.033244305297320004,0.6630370668957015
2,5.765254249820462,0.034101972921609595,0.03951481565252527,0.031266674470585155,0.7144834328148132,0.0,0.0,0.0,5.917194888276874,0.04958804626028798,0.05934221030368534,0.04447872219736748,0.5650520780445201
3,5.6622662020686665,0.028636793345388864,0.031027335607597368,0.027384604684631116,0.7423459138048301,0.0,0.0,0.0,5.583243567988558,0.021790078053783878,0.022753198283004455,0.02128558654533308,0.8196275559146847
4,5.597881619454556,0.02254779206054481,0.023746104516529584,0.021920104593653473,0.8106067201041275,0.0,0.0,0.0,5.5691669099735766,0.020286460673562896,0.021703226497902822,0.01954434515134155,0.840714673236408
5,5.56220100283482,0.018972784254387674,0.01949775579297595,0.018697799156881904,0.8500448581460235,0.0,0.0,0.0,5.548639333473061,0.01797723189919396,0.018278539778560313,0.017819404039411065,0.8599018887432627
6,5.679765507631628,0.030390445921468903,0.03147822810886525,0.02982065528957935,0.755839429188788,0.0,0.0,0.0,5.661070250115305,0.027418498611379866,0.02943090864402994,0.026364379043675553,0.7385135625315978
7,5.587808669246777,0.021852747212827137,0.022341658611454727,0.02159665072822796,0.8125084204403541,0.0,0.0,0.0,5.580323100090027,0.02195308200553455,0.02220399683427798,0.02182165061612028,0.789871782679825
8,5.5557041798741365,0.01845058813524007,0.018760000866434662,0.018288514825822853,0.8526259670572832,0.0,0.0,0.0,5.541370427833413,0.017119725180410706,0.017312177239681703,0.01701891708615155,0.869566153354701
9,5.542471877799547,0.016972382305522032,0.01716596846149576,0.016870980021616737,0.8726049695414664,0.0,0.0,0.0,5.532348533846298,0.01597820604357396,0.01593267883746801,0.016002053627724694,0.8832816906031605
10,5.569886318486021,0.019904627539481363,0.01981110714101684,0.019953614353711378,0.8359693179727304,0.0,0.0,0.0,5.531006790556997,0.016519073974945554,0.01636038994654857,0.01660219420373967,0.875266568850627
11,5.537154877762868,0.01631183261128743,0.01637715847339704,0.016277614291672522,0.8789742034469613,0.0,0.0,0.0,5.5255790476529105,0.01551692325369095,0.015513254637755283,0.015518844949845803,0.8871465356652364
12,5.535079138619559,0.0156286137053191,0.01574622943247287,0.01556700540948103,0.8872947585906442,0.0,0.0,0.0,5.520288386434879,0.014908146515356756,0.014841418951693858,0.014943099011864483,0.8969227110038465
13,5.530086187432479,0.014989226216443736,0.015103034010590613,0.014929612666953238,0.8940845982665295,0.0,0.0,0.0,5.5218075153962625,0.01453210032355469,0.014605184872433659,0.014493817756611035,0.8974860424840696
14,5.528975672536082,0.014812059777457852,0.014802954912671872,0.014816828963862052,0.8949887962943689,0.0,0.0,0.0,5.519608861995193,0.01409523578520018,0.014206532960156712,0.01403693722144726,0.9049026447059834
15,5.523473646733668,0.014000684060288291,0.014025723980874658,0.013987567909734207,0.9044672034003518,0.0,0.0,0.0,5.519179051777102,0.013527745619460194,0.013516466877805097,0.013533653545151904,0.9088929907762195
16,5.529713394791064,0.014995043378195768,0.015000392347686188,0.014992241559653525,0.8943140134479248,0.0,0.0,0.0,5.513883961821502,0.014624046303529654,0.014420099378623154,0.014730875437506499,0.8825322997956853
