epoch,split,loss_recon_orig,loss_recon_flip,loss_recon_total,loss_contrastive,loss_total
1,train,3.0444072579267876,3.0403413122350518,6.08474856875441,0.0,6.08474856875441
1,val,2.92249969716342,2.9212865075975096,5.843786219380936,0.0,5.843786219380936
2,train,2.8721187033084656,2.8744303524283055,5.746549054047856,0.0,5.746549054047856
2,val,2.823228457063999,2.821849803879576,5.645078256445111,0.0,5.645078256445111
3,train,2.8109365444115793,2.8073301025377115,5.61826664216403,0.0,5.61826664216403
3,val,2.7942867661422155,2.7928622207551634,5.587148981274299,0.0,5.587148981274299
4,train,2.7926165610024047,2.790009105923325,5.582625666644244,0.0,5.582625666644244
4,val,2.7809957074669174,2.7783570851919785,5.559352793783511,0.0,5.559352793783511
5,train,2.7821156345263844,2.780785685306175,5.562901307165693,0.0,5.562901307165693
5,val,2.7750600430200683,2.7734911655480006,5.5485512018203735,0.0,5.5485512018203735
6,train,2.7759996144521053,2.773288023654798,5.549287635010558,0.0,5.549287635010558
6,val,2.7726121331160924,2.7685654050899,5.541177529209065,0.0,5.541177529209065
7,train,2.770193195680801,2.7683581227817107,5.538551320432913,0.0,5.538551320432913
7,val,2.766089085138069,2.765245885219214,5.531334971481899,0.0,5.531334971481899
8,train,2.7659742359287485,2.764512330047355,5.530486561190843,0.0,5.530486561190843
8,val,2.759834445872397,2.7594753773707263,5.519309815370812,0.0,5.519309815370812
9,train,2.937338343758791,2.9196670547989774,5.857005385609416,0.0,5.857005385609416
9,val,2.802771173558145,2.788692404639046,5.591463568075648,0.0,5.591463568075648
10,train,2.781791876170261,2.7759036350700623,5.5576955177144995,0.0,5.5576955177144995
10,val,2.7689620132716195,2.7655960658811174,5.534558096021976,0.0,5.534558096021976
11,train,2.769410310416464,2.766811117512276,5.536221427084282,0.0,5.536221427084282
11,val,2.7632776926148614,2.761949270401361,5.525226952894679,0.0,5.525226952894679
12,train,2.7678062220531765,2.765440154103771,5.5332463758754615,0.0,5.5332463758754615
12,val,2.7602648262707694,2.7584500852620826,5.518714913782084,0.0,5.518714913782084
13,train,2.7650943911483745,2.7630886916145947,5.52818308754823,0.0,5.52818308754823
13,val,2.760086549902862,2.7584578203705123,5.518544374771838,0.0,5.518544374771838
14,train,2.833157444225433,2.8174808712185766,5.650638315725495,0.0,5.650638315725495
14,val,2.7724802246633566,2.7676822745575094,5.540162500345482,0.0,5.540162500345482
15,train,2.775237244726494,2.7703176392011404,5.545554881675748,0.0,5.545554881675748
15,val,2.7660992865292533,2.764168290597088,5.530267553509407,0.0,5.530267553509407
16,train,2.765580733804804,2.7630793172888097,5.528660053064015,0.0,5.528660053064015
16,val,2.759533125274586,2.7578547810608485,5.517387916456978,0.0,5.517387916456978
17,train,2.762764106815793,2.7610739282340058,5.5238380437758625,0.0,5.5238380437758625
17,val,2.762095521081169,2.7610613793697,5.523156888080093,0.0,5.523156888080093
18,train,2.760378944550101,2.758857204612903,5.519236147474088,0.0,5.519236147474088
18,val,2.758786490503347,2.756555403178593,5.515341891432708,0.0,5.515341891432708
19,train,2.7603911390833757,2.7590652871723016,5.519456428789051,0.0,5.519456428789051
19,val,2.7554553331069225,2.754011718732006,5.509467032720458,0.0,5.509467032720458
20,train,2.759213419703694,2.758002678365606,5.517216102573075,0.0,5.517216102573075
20,val,2.75557516093524,2.7554307872394346,5.511005943676211,0.0,5.511005943676211
21,train,2.760073052105684,2.758749188892675,5.518822241561331,0.0,5.518822241561331
21,val,2.7571606073739394,2.7563526191801393,5.5135132456725495,0.0,5.5135132456725495
22,train,2.7587487143074045,2.7566278814002785,5.515376602181859,0.0,5.515376602181859
22,val,2.7556891834960795,2.754784382739157,5.510473550490613,0.0,5.510473550490613
23,train,2.7909573971028876,2.8126844340823194,5.603641828651834,0.0,5.603641828651834
23,val,2.7831777176767027,2.7935095002066412,5.5766872077618,0.0,5.5766872077618
24,train,2.767460668523309,2.7695022085340697,5.536962886909386,0.0,5.536962886909386
24,val,2.7605847648854525,2.759781911688031,5.520366664202708,0.0,5.520366664202708
25,train,2.7625121484821773,2.7611791209318843,5.523691264628801,0.0,5.523691264628801
25,val,2.758501300271952,2.7568631543303437,5.515364446729984,0.0,5.515364446729984
26,train,2.7595127676003375,2.758377073224911,5.517889830691756,0.0,5.517889830691756
26,val,2.7546437236497985,2.753223682349583,5.507867410497846,0.0,5.507867410497846
27,train,2.7587744640769194,2.7582438000540526,5.517018265819887,0.0,5.517018265819887
27,val,2.754510313834784,2.7533625116888083,5.50787282889744,0.0,5.50787282889744
28,train,2.7573572694199706,2.756663575786064,5.5140208449245485,0.0,5.5140208449245485
28,val,2.7544502930821113,2.755822056869291,5.5102723274590835,0.0,5.5102723274590835
29,train,2.755542725289445,2.7544189129979157,5.509961646731939,0.0,5.509961646731939
29,val,2.7519209677318357,2.750730568507932,5.502651558732087,0.0,5.502651558732087
30,train,2.7552452650374195,2.7548159187771777,5.510061187473914,0.0,5.510061187473914
30,val,2.7506657951283007,2.751292237695658,5.501958028325495,0.0,5.501958028325495
31,train,2.7553946769223443,2.7544934059962753,5.50988809051874,0.0,5.50988809051874
31,val,2.7512789424860253,2.7512196909706548,5.502498619961289,0.0,5.502498619961289
32,train,2.7721842424647165,2.8520390649613128,5.624223301514824,0.0,5.624223301514824
32,val,2.7545895452769296,2.7773674748978525,5.531957037044021,0.0,5.531957037044021
33,train,2.757684019689999,2.7655584178820973,5.523242442075872,0.0,5.523242442075872
33,val,2.7511827462124376,2.75538218246316,5.5065649342986775,0.0,5.5065649342986775
34,train,2.7557465520631323,2.75836962482583,5.514116170696272,0.0,5.514116170696272
34,val,2.7535348129722306,2.7553686319657094,5.508903449436404,0.0,5.508903449436404
35,train,2.7550997810071025,2.760473131148283,5.515572909903498,0.0,5.515572909903498
35,val,2.7516713839656903,2.756889580555682,5.508560970144452,0.0,5.508560970144452
36,train,2.7537773322608703,2.7563447957900227,5.510122129176837,0.0,5.510122129176837
36,val,2.7520261305683063,2.753884388590759,5.505910520283681,0.0,5.505910520283681
37,train,2.755223229193209,2.7559935649705185,5.511216791348868,0.0,5.511216791348868
37,val,2.769636499431898,2.762279878247459,5.531916366433197,0.0,5.531916366433197
38,train,2.7549726369107908,2.755333469496708,5.510306097118463,0.0,5.510306097118463
38,val,2.7501151359306193,2.7507186070928036,5.500833725029567,0.0,5.500833725029567
39,train,2.75356282731859,2.7539560825793776,5.507518903423791,0.0,5.507518903423791
39,val,2.7482546477947594,2.7488193736886077,5.497074039477222,0.0,5.497074039477222
40,train,2.7535971244082402,2.7549261067242945,5.508523233384421,0.0,5.508523233384421
40,val,2.750731455829908,2.7505216497295306,5.50125309431328,0.0,5.50125309431328
41,train,2.751887605772953,2.752330665746011,5.504218276585711,0.0,5.504218276585711
41,val,2.7506756850008696,2.7509130554379158,5.501588731441858,0.0,5.501588731441858
42,train,2.7517144969953695,2.752309840291281,5.504024342353397,0.0,5.504024342353397
42,val,2.747028792804142,2.7477334546593,5.4947622677065295,0.0,5.4947622677065295
43,train,2.752929593202215,2.7536322287995247,5.506561827631458,0.0,5.506561827631458
43,val,2.7469988454062984,2.74939360033791,5.496392441245745,0.0,5.496392441245745
44,train,2.7517500193932545,2.752646337292974,5.504396354715827,0.0,5.504396354715827
44,val,2.7517331028884313,2.752773295033653,5.5045063810528445,0.0,5.5045063810528445
45,train,2.7511943675832735,2.7516621746729792,5.502856546197056,0.0,5.502856546197056
45,val,2.748786549523192,2.7491968330347314,5.497983381433307,0.0,5.497983381433307
46,train,2.750187405166266,2.7505174434733926,5.500704857647208,0.0,5.500704857647208
46,val,2.7487105817165016,2.7494480756093873,5.498158664073584,0.0,5.498158664073584
47,train,2.7507068148188494,2.7513051928145265,5.502012008477833,0.0,5.502012008477833
47,val,2.7463558653615556,2.746741880785744,5.493097752894995,0.0,5.493097752894995
48,train,2.7517491977358373,2.751567521652618,5.503316723329258,0.0,5.503316723329258
48,val,2.7467042286441012,2.746959818983978,5.4936640397557674,0.0,5.4936640397557674
49,train,2.749849656115175,2.750606818632646,5.500456471088504,0.0,5.500456471088504
49,val,2.749620093489593,2.749823456665255,5.499443546781,0.0,5.499443546781
50,train,2.749859542745345,2.750167341412451,5.500026878528077,0.0,5.500026878528077
50,val,2.7477650732364296,2.7472537834689303,5.495018860079208,0.0,5.495018860079208
