epoch,train_loss,train_recon_total,train_recon_masked,train_recon_unmasked,train_ssim,train_loss_contrast,train_embed_var_mean,train_embed_var_min,val_loss,val_recon_total,val_recon_masked,val_recon_unmasked,val_ssim
1,6.08474856875441,0.05940282421347101,0.07096181116903034,0.053348116577928234,0.5330299522899259,0.0,0.0,0.0,5.843786219380936,0.03529398214500562,0.04617691197322437,0.029593399927712906,0.6955496605166995
2,5.746549054047856,0.029352636900076196,0.037230869158790564,0.02522594391270888,0.7499219853312235,0.0,0.0,0.0,5.645078256445111,0.02388444025080464,0.02889294557834829,0.021260937620940747,0.8012185462456537
3,5.61826664216403,0.02204529599780316,0.026093593451218554,0.019924759172820893,0.8185065321122882,0.0,0.0,0.0,5.587148981274299,0.020451141748808126,0.023667815921453023,0.01876621719892984,0.8323367487364463
4,5.582625666644244,0.019135872104426202,0.022109436156527863,0.01757829095605936,0.8500575896840732,0.0,0.0,0.0,5.559352793783511,0.018455477265481753,0.02099880021965577,0.017123260603876728,0.8542194706852105
5,5.562901307165693,0.017391307434504753,0.019842020803425744,0.016107600488704004,0.869353613366484,0.0,0.0,0.0,5.5485512018203735,0.016414887996549804,0.018655290358122183,0.015241343969373761,0.878698314396681
6,5.549287635010558,0.016054972958967635,0.018198958231525845,0.01493193309283105,0.8842007262366158,0.0,0.0,0.0,5.541177529209065,0.015667737594044665,0.01779633258871752,0.014552759096049445,0.8887314436358337
7,5.538551320432913,0.015103795738294809,0.016918936777718784,0.014153007558031897,0.8949751167117213,0.0,0.0,0.0,5.531334971481899,0.014617945680224438,0.016255160329424367,0.01376035706784923,0.8969476531037187
8,5.530486561190843,0.014055230839501234,0.01556111322179096,0.01326643531429846,0.9056656147400632,0.0,0.0,0.0,5.519309815370812,0.01350730225048234,0.014932517258594746,0.012760761062454886,0.9106974708647151
9,5.857005385609416,0.04106867256757958,0.04979236520889991,0.03649911935131593,0.6594108306707148,0.0,0.0,0.0,5.591463568075648,0.021921268070341914,0.024289823294517086,0.02068059624271256,0.8138536613599389
10,5.5576955177144995,0.017457966837886866,0.01912049890472946,0.016587116719364563,0.8684241407173724,0.0,0.0,0.0,5.534558096021976,0.015780699187147935,0.017205144918517986,0.01503456098709503,0.8861008424674515
11,5.536221427084282,0.014918230185911957,0.01642339861263747,0.01412980869272517,0.8971960518548734,0.0,0.0,0.0,5.525226952894679,0.014528544409788464,0.01605830750090726,0.013727239866507222,0.8983792580686136
12,5.5332463758754615,0.014149575862580517,0.015619496505531974,0.013379617439773638,0.905518180786367,0.0,0.0,0.0,5.518714913782084,0.013749318027039194,0.015025996695130016,0.013080581521565935,0.9112147876998317
13,5.52818308754823,0.013644939870161247,0.01501820145841191,0.012925612388308872,0.9109659467987637,0.0,0.0,0.0,5.518544374771838,0.013517247030516993,0.01472965443412431,0.012882176566147405,0.9152327754152911
