epoch,train_loss_total,train_loss_boundary,train_loss_interior,train_loss_dice_aux,train_dice,train_dice_boundary,train_dice_interior,val_loss_total,val_loss_boundary,val_loss_interior,val_loss_dice_aux,val_dice,val_dice_boundary,val_dice_interior,lr
1,0.2599925218405118,0.9042902554641175,0.46147462846490384,0.021320494156196863,0.6299791880309445,0.5955332108726856,0.8046215330020954,0.11323158083516255,0.8578314029595309,0.22558517558010002,0.00904697285997763,0.8376707152316445,0.7023922560507792,0.948439267643711,0.00011999999999999999
2,0.09104891180957923,0.7969455645115392,0.15105323216435373,0.006233157588784635,0.8608639339225932,0.6858256288220523,0.9617348811329095,0.07616701245046499,0.8833203747084266,0.12531084041192866,0.0051176894676724545,0.8752559679642058,0.635018264776782,0.970122778624819,0.00017999999999999998
3,0.06722676248361614,0.7306346810538986,0.10070587631796687,0.004292668947521041,0.8988724521944882,0.719781437719151,0.9759824484381497,0.06576014754542134,0.6776465695808854,0.08515789727435301,0.003516095618946118,0.8991709335854179,0.751917944142693,0.982061367285879,0.00023999999999999998
4,0.05543876264326975,0.6721486545466429,0.07275335941757285,0.003350125292961663,0.921693673230531,0.7547139418927786,0.983589048000721,0.0603541829541587,0.8235899536756047,0.08428032418484227,0.0035141591567815723,0.9133651695753399,0.694788899860884,0.9812705035795245,0.0003
5,0.050980758118602094,0.6441116835337699,0.061084257212895746,0.002967146701088949,0.9282775321532135,0.7714601890130542,0.9866316412912586,0.05882097532351812,0.6948791357378165,0.0784627790767046,0.0030016293596035163,0.9191913291027671,0.7769389779944169,0.9837446610132853,0.0003
6,0.04846382696344,0.627761585254567,0.05565065864328218,0.002770006933121984,0.9320382309397761,0.7810628791300505,0.9880782774868317,0.05928488552831767,0.8822751658919611,0.10884564006374332,0.003969639099587016,0.9287659609526918,0.703888140749513,0.9761411254866081,0.00029963582551384367
7,0.04413031155632576,0.5945829909634025,0.04488870177087363,0.002417450604529933,0.9409659991942934,0.7989394530688156,0.9906269664425109,0.05584240364923812,0.7606932175133312,0.0724568015716055,0.0029063101601582673,0.9322646511228461,0.7564811554917118,0.9845548742695859,0.00029854507627686476
8,0.04068531312601386,0.5697792610231938,0.03713615367498303,0.002144033572488331,0.9471432064084854,0.812640823429563,0.9926331818058186,0.05486267386821278,0.6409185361443904,0.04915633026853596,0.0021676135756455266,0.9282937813223454,0.8024972013214178,0.9895381049105996,0.0002967330663097039
9,0.03793180988304881,0.5457837083865051,0.0310395876588421,0.001913815058586804,0.9540026206138394,0.8253983199003551,0.9941622479872204,0.0565793761624056,0.8287031259714511,0.07294935551308618,0.0027380458823723815,0.9389931559562683,0.7518797893273202,0.9848763137532953,0.0002942086235427786
10,0.036982396755769406,0.5393077518617094,0.029081759324501102,0.001840653187077273,0.9559774023937467,0.8287712518003211,0.9945932971035696,0.05703586859530524,0.7275945141650083,0.058129942812548394,0.002256283458943168,0.926670559665613,0.7852436424347392,0.9882083608393084,0.00029098404680749326
11,0.036579581423624837,0.5367798457277031,0.028277862475017783,0.0018019492707843018,0.9567275716771401,0.830314576352199,0.9948204284236006,0.058441207433740296,0.7903279019356296,0.07198513566777763,0.0026172478639892418,0.9291014190305743,0.7695531134019818,0.9853685644634983,0.00028707504591756876
12,0.03706313881313381,0.5391318939666121,0.02939871483387649,0.0018509708913830526,0.9546256518674061,0.8275296951671912,0.9944879980422927,0.057212306480658684,0.8455789908766747,0.0667685172438883,0.0025494144642276267,0.9247717308370691,0.7474880783181441,0.9863706848077607,0.0002825006651324096
