epoch,train_loss,train_recon_total,train_recon_masked,train_recon_unmasked,train_ssim,train_loss_contrast,train_embed_var_mean,train_embed_var_min,val_loss,val_recon_total,val_recon_masked,val_recon_unmasked,val_ssim
1,6.259336471557617,0.1298944056034088,0.13414572179317474,0.1276673972606659,0.19126524031162262,0.0,0.0,0.0,6.076023101806641,0.08358550071716309,0.09137920290231705,0.07950309664011002,0.25525587797164917
2,6.060413360595703,0.08270388096570969,0.07833626121282578,0.0849916860461235,0.3291515111923218,0.0,0.0,0.0,6.015153408050537,0.08450088649988174,0.0765102207660675,0.0886864960193634,0.3534969985485077
3,5.988712310791016,0.06893318146467209,0.0637902095913887,0.0716271623969078,0.42639434337615967,0.0,0.0,0.0,5.903753757476807,0.057458408176898956,0.0534997321665287,0.059531986713409424,0.5236617922782898
4,5.927390098571777,0.05512623116374016,0.053841907531023026,0.05579899623990059,0.5239382982254028,0.0,0.0,0.0,5.873762130737305,0.04958696663379669,0.048770722001791,0.050014495849609375,0.590583086013794
5,5.905756950378418,0.05066954717040062,0.05004614591598511,0.050996121019124985,0.5672980546951294,0.0,0.0,0.0,5.8558349609375,0.046880852431058884,0.04671180248260498,0.04696940258145332,0.6047287583351135
6,5.88157844543457,0.04802339896559715,0.04730084538459778,0.0484018474817276,0.5910301804542542,0.0,0.0,0.0,5.836655139923096,0.044840008020401,0.044691190123558044,0.044917937368154526,0.615565299987793
7,5.869206428527832,0.045876394957304,0.04488072544336319,0.046397946774959564,0.6081034541130066,0.0,0.0,0.0,5.827029705047607,0.04411737620830536,0.042273975908756256,0.04508296400308609,0.6217179298400879
8,5.853795051574707,0.04488358646631241,0.04314597696065903,0.0457938052713871,0.6148622632026672,0.0,0.0,0.0,5.80959415435791,0.04226866737008095,0.03989122435450554,0.04351402074098587,0.643234372138977
9,5.83666467666626,0.04418640583753586,0.041639432311058044,0.045520585030317307,0.6178781986236572,0.0,0.0,0.0,5.801667213439941,0.04106312617659569,0.038627345114946365,0.042339008301496506,0.6542055010795593
10,5.82806921005249,0.043341632932424545,0.0401480533182621,0.04501444473862648,0.6250703930854797,0.0,0.0,0.0,5.780093669891357,0.03979189321398735,0.036277685314416885,0.04163264483213425,0.661709725856781
11,5.8111891746521,0.042500101029872894,0.03859446570277214,0.04454594478011131,0.6318306922912598,0.0,0.0,0.0,5.7602458000183105,0.039405517280101776,0.03534061461687088,0.04153474420309067,0.6682891845703125
12,5.798842430114746,0.04143896326422691,0.03705392777919769,0.043735917657613754,0.6408803462982178,0.0,0.0,0.0,5.743712902069092,0.03778547793626785,0.03343702852725983,0.040063243359327316,0.6804502010345459
13,5.783847332000732,0.04017101600766182,0.03553686663508415,0.04259844124317169,0.6515522599220276,0.0,0.0,0.0,5.735530853271484,0.03722634166479111,0.03261490538716316,0.03964183107018471,0.6849579215049744
14,5.7669572830200195,0.03870247304439545,0.033870190382003784,0.04123365134000778,0.662574052810669,0.0,0.0,0.0,5.712482929229736,0.03456421196460724,0.03007039800286293,0.03691810369491577,0.7043522596359253
15,5.753143787384033,0.03731957823038101,0.03242901340126991,0.039881326258182526,0.6730635762214661,0.0,0.0,0.0,5.69931697845459,0.033634286373853683,0.029001709073781967,0.0360608771443367,0.7070389986038208
16,5.745855808258057,0.03632894530892372,0.03134879469871521,0.038937605917453766,0.6822447776794434,0.0,0.0,0.0,5.695378303527832,0.033022381365299225,0.02812623605132103,0.03558703511953354,0.714881420135498
17,5.739192008972168,0.03582366555929184,0.03051823191344738,0.03860270604491234,0.6870459318161011,0.0,0.0,0.0,5.691712379455566,0.03209447115659714,0.027180396020412445,0.034668512642383575,0.7249709963798523
18,5.734496116638184,0.03548610210418701,0.02983696199953556,0.03844520077109337,0.6904643177986145,0.0,0.0,0.0,5.692821025848389,0.031782228499650955,0.0267106294631958,0.03443877398967743,0.7268115282058716
19,5.72855281829834,0.03521616756916046,0.029260888695716858,0.03833559527993202,0.6924799084663391,0.0,0.0,0.0,5.6833391189575195,0.03178681060671806,0.02605981007218361,0.03478667140007019,0.7272182106971741
20,5.723521709442139,0.03500004857778549,0.028717732056975365,0.03829080983996391,0.6946427822113037,0.0,0.0,0.0,5.686594009399414,0.031572941690683365,0.02572518400847912,0.03463604673743248,0.7301990389823914
21,5.718926429748535,0.034725770354270935,0.028297042474150658,0.03809313476085663,0.6977912187576294,0.0,0.0,0.0,5.669482707977295,0.03148247301578522,0.025369038805365562,0.03468473628163338,0.7316269278526306
22,5.715908527374268,0.034532129764556885,0.027920061722397804,0.03799561783671379,0.6998258829116821,0.0,0.0,0.0,5.6673994064331055,0.03136087954044342,0.024975696578621864,0.0347055159509182,0.7342849373817444
23,5.712467193603516,0.03434192016720772,0.027580585330724716,0.03788357973098755,0.7014598846435547,0.0,0.0,0.0,5.666635513305664,0.03071700967848301,0.024609673768281937,0.03391607850790024,0.7388924360275269
24,5.712176322937012,0.03416037932038307,0.027311250567436218,0.03774803876876831,0.7034719586372375,0.0,0.0,0.0,5.665172576904297,0.030699189752340317,0.024417050182819366,0.033989835530519485,0.7401019334793091
25,5.710390090942383,0.03398681804537773,0.02699698694050312,0.03764812648296356,0.7051147222518921,0.0,0.0,0.0,5.667412757873535,0.03056885115802288,0.023921729996800423,0.03405067324638367,0.7404137849807739
26,5.705828666687012,0.03390229120850563,0.026754237711429596,0.037646468728780746,0.705683708190918,0.0,0.0,0.0,5.667372703552246,0.030383719131350517,0.023833386600017548,0.033814843744039536,0.7423496246337891
27,5.704179763793945,0.03373388573527336,0.026495052501559258,0.03752567246556282,0.7073275446891785,0.0,0.0,0.0,5.6661601066589355,0.030129197984933853,0.02360263094305992,0.03354787454009056,0.7420783638954163
28,5.703628063201904,0.03369622305035591,0.026244888082146645,0.03759932518005371,0.7078406810760498,0.0,0.0,0.0,5.656510353088379,0.03013049066066742,0.02333715185523033,0.03368893265724182,0.7447905540466309
29,5.702389240264893,0.0335305891931057,0.026067469269037247,0.037439871579408646,0.7091017365455627,0.0,0.0,0.0,5.660078525543213,0.029960157349705696,0.02316664718091488,0.03351864963769913,0.7459844946861267
30,5.7010650634765625,0.03354986757040024,0.025850657373666763,0.03758277744054794,0.709132194519043,0.0,0.0,0.0,5.659279823303223,0.03022095188498497,0.023110264912247658,0.03394559398293495,0.7467690110206604
31,5.70042610168457,0.03352100029587746,0.02567110024392605,0.03763284161686897,0.7096469402313232,0.0,0.0,0.0,5.657209396362305,0.029929524287581444,0.022782927379012108,0.033672962337732315,0.7464981079101562
32,5.696046829223633,0.03334958851337433,0.025481091812253,0.03747114539146423,0.7114720940589905,0.0,0.0,0.0,5.653628826141357,0.029874369502067566,0.022790906950831413,0.03358476981520653,0.7470147609710693
33,5.693761825561523,0.033320944756269455,0.02530333772301674,0.037520650774240494,0.7116793394088745,0.0,0.0,0.0,5.656673431396484,0.029560016468167305,0.022449273616075516,0.03328467160463333,0.7498968243598938
34,5.696177959442139,0.03314507380127907,0.025157254189252853,0.03732915222644806,0.7132983803749084,0.0,0.0,0.0,5.655327320098877,0.029559245333075523,0.02232242561876774,0.03334994614124298,0.7500098943710327
35,5.69089937210083,0.03321978077292442,0.02500106953084469,0.03752483054995537,0.7128682732582092,0.0,0.0,0.0,5.6575117111206055,0.03009289875626564,0.02223687432706356,0.03420796990394592,0.744924008846283
36,5.687979698181152,0.03323174640536308,0.024843547493219376,0.03762554004788399,0.7126100063323975,0.0,0.0,0.0,5.655786514282227,0.02954038791358471,0.0220812875777483,0.03344754874706268,0.7492716312408447
37,5.691840171813965,0.03305354341864586,0.024719493463635445,0.037418968975543976,0.7139073014259338,0.0,0.0,0.0,5.648420810699463,0.02984490804374218,0.022171389311552048,0.03386435657739639,0.7488362789154053
38,5.6875834465026855,0.033143606036901474,0.024654604494571686,0.03759019076824188,0.7129117250442505,0.0,0.0,0.0,5.653135299682617,0.029549218714237213,0.021914208307862282,0.033548496663570404,0.7504056096076965
39,5.688100814819336,0.032953422516584396,0.024419164285063744,0.03742372244596481,0.7147549986839294,0.0,0.0,0.0,5.649069309234619,0.02977016754448414,0.022004377096891403,0.033837974071502686,0.7481140494346619
