epoch,split,wt_dice,tc_dice,et_dice,wt_iou,tc_iou,et_iou,wt_hd95,tc_hd95,et_hd95
1,train,0.24498154500563407,0.1528133537193698,0.14789775724019164,0.13958915606184924,0.08272761933779914,0.07985399176441249,75.63628776868501,66.50047926517539,56.927211767400735
1,eval,0.7223102815593241,0.7812240598613034,0.7474884711075142,0.5653252672650833,0.6409907138242328,0.5967916892297744,19.542857026782734,7.887055216935066,6.7820010104958035
2,train,0.7672335297669481,0.8080005999506114,0.7488966561152415,0.6223672920159032,0.6778531934807459,0.5985889653127039,14.71773087856106,7.695823809554654,7.005395679488944
2,eval,0.7983127492452665,0.8216041627995012,0.7927333623913633,0.664326553139244,0.6972225604185575,0.6566348623379634,10.88950475228617,4.217834971237116,3.714166234029159
3,train,0.7947623414358786,0.849678951345675,0.7895726214175608,0.659423754135538,0.7386450524743947,0.6523089574710781,12.7527900395986,5.944853961928712,5.418623237499419
3,eval,0.8011661748815432,0.837511753935106,0.8086823929752961,0.6682879295655342,0.7204475028200444,0.6788134316212844,14.184323006153043,6.144649011308604,5.227228005632985
4,train,0.8086929299139122,0.8701295333287841,0.8106105076011816,0.6788282804831112,0.7701144148783077,0.6815349494691625,11.762023194145256,5.074738010836755,4.585781764114445
4,eval,0.811027860617247,0.8380344110660981,0.8224673339995002,0.6821252018893282,0.7212213675234489,0.6984666818569185,10.292476057266734,3.5730802286047108,2.9102225699430857
5,train,0.8196856931326525,0.8830684930556015,0.8273033897692819,0.6944639138605094,0.7906200940390886,0.7054709483696017,10.995947466628174,4.367553765640787,3.967732571126561
5,eval,0.7872540531968769,0.842856432410316,0.8152949707874679,0.649150018000167,0.728394000552564,0.6881839366626058,14.75076985492121,5.783693009071571,4.999432552381104
6,train,0.8332725135291638,0.9001633353311668,0.8419998270764972,0.714196351068817,0.8184518340295653,0.7271154588438214,10.117668909474784,3.766995352623235,3.4685213446087433
6,eval,0.8155803770312675,0.8326123807284133,0.7929416181713081,0.6885907335670661,0.7132270095925272,0.656920684292008,11.812107506528651,5.571351253386765,4.856334088609895
7,train,0.8432576877551402,0.9074343535643923,0.8502819875544493,0.7289935526942486,0.8305536207593668,0.7395569855827736,9.365278089122011,3.4173488057338304,3.140177621168012
7,eval,0.8297926078714519,0.8643348829389719,0.8284426321267474,0.7090987575818515,0.7610825321251146,0.7071293773950079,9.918208259720748,3.7262442341161814,3.348259186512975
8,train,0.8531525933711654,0.9175729318285608,0.8609518273777176,0.7439111676408748,0.8476995437472113,0.7558519894691198,8.711865562074465,3.0764813718649133,2.856450775594071
8,eval,0.8255716640184867,0.8600266162293659,0.8479406942583713,0.7029561861929411,0.7544269265170895,0.7360217395340739,11.013334280443384,3.7620560588098857,3.145053806276525
9,train,0.8604511174514039,0.9217815752691252,0.8672818099305247,0.7550804802045954,0.8549117267210522,0.7656642380549481,8.242355302456062,2.8918674000476785,2.6999071287603775
9,eval,0.8313161432384252,0.8596266736131949,0.8339901009903206,0.7113267958898686,0.7538116279314103,0.7152513042116097,9.77415378483196,3.667294107127278,3.3068975223640704
10,train,0.8683846094442406,0.9263163812661389,0.8737869432745788,0.7673849407595624,0.862746124746222,0.7758629133773347,7.731875464406318,2.7037015553289576,2.517718840471858
10,eval,0.8304630287053831,0.8594088466058373,0.8370340996329427,0.7100784747198744,0.7534766897397152,0.719740879219895,10.663298434117925,3.677088250390699,3.0847814877952042
11,train,0.8742722037412498,0.9309045037137119,0.8791791551288365,0.7766284235379198,0.8707402724521712,0.7844064991759647,7.2568857921219605,2.4572366131319647,2.314384035327966
11,eval,0.8366588539093356,0.8501307096023264,0.8523479879010414,0.7191861619619281,0.7393281277286007,0.7426885318156404,9.854028671028269,3.3883032867167073,2.6668898871246975
12,train,0.8793043724294439,0.9332205244981275,0.8826423530074344,0.7846058740637722,0.874801724188674,0.7899371838400343,6.948198231904648,2.374672799759654,2.2456939776753235
