epoch,split,wt_dice,tc_dice,et_dice,wt_iou,tc_iou,et_iou,wt_hd95,tc_hd95,et_hd95
1,train,0.4221384646053643,0.25289869148852195,0.1793969535863182,0.2675383454986017,0.1447533066665667,0.09853710502116515,51.82367889114558,24.542707307594416,23.652924822052782
1,eval,0.868278087724763,0.6185431663616817,0.45052501463466893,0.767218588159311,0.44774700975102905,0.29075978566278393,9.964810389341732,7.011436011380243,7.023447947226669
2,train,0.8709989069745724,0.6607907024231989,0.46054096077768264,0.7714774700886455,0.49341854452388445,0.2991576580110455,11.533981575772113,8.546367206055395,8.707652275466415
2,eval,0.9013376905556473,0.6856402390596718,0.4790857285898295,0.8203955690547878,0.5216534007166701,0.3149985095120634,8.737040711944713,5.842761259695982,5.896547220291066
3,train,0.8878624640106033,0.7094133688865147,0.5014495722124338,0.7983387263525187,0.5496828742712535,0.33462308836197474,10.183659871127315,7.287787107209061,7.649581880570807
3,eval,0.9014844137387953,0.6744330938274207,0.4362180755996109,0.8206387101042375,0.5087884215326166,0.27895070840320196,8.226143411204099,9.331139568926675,9.674447756976662
4,train,0.8986349012024055,0.7479937352610604,0.5375352722976136,0.8159282532045752,0.5974360962299395,0.36755434993780084,9.181000169155313,6.2444576251528785,6.68064280213982
4,eval,0.8907516216517098,0.6843269433925941,0.48349809500767327,0.8030226945006405,0.5201344969070048,0.3188245879652355,9.761611256057229,8.499945433202146,8.877944918198718
5,train,0.9046580221532711,0.7688935979078336,0.5592307895894358,0.8259137698088476,0.6245549504097782,0.388147376796091,8.505266037544098,5.703315685364936,6.1576367146182385
5,eval,0.8921543216456175,0.7236477156595476,0.4803195774492784,0.8053055936191785,0.5669655035980042,0.3160661743888768,8.766600617678396,5.7880347575520075,5.612177793794181
6,train,0.9113621365944033,0.7970014505340173,0.593677862597328,0.8371582205889663,0.6625123952874342,0.42214926922347124,7.72846674383047,4.94017805311737,5.466216609986229
6,eval,0.9121649528912551,0.7309062940501071,0.5120490161299084,0.838514033277024,0.575927759016847,0.3441302984309958,7.149069475332807,6.195859152341385,6.565175468924772
7,train,0.9163622034436267,0.8186675505178937,0.6254505110763068,0.845635143362181,0.6930035240095164,0.4550221844439011,7.238089608264522,4.407436037238559,5.021940732958946
7,eval,0.9134658143391653,0.7414928411314554,0.5299716433156243,0.8407152084069877,0.5891844443682717,0.3605179729396285,8.077843111357522,5.493411442890902,5.439387853615029
